"","trial","electrodes","pre_13","pre_12","pre_11","pre_10","pre_9","pre_8","pre_7","pre_6","pre_5","pre_4","pre_3","pre_2","pre_1","post_1","post_2","post_3","post_4","post_5","post_6","post_7","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_foregone","ineq_disadvent","ineq_advent","ineq_disadvent_choice","ineq_advent_choice","ineq_var","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",1,"LAM1-LAM2",-0.469974577646465,-0.511201189646465,-0.639656968146465,-0.421418983646465,-0.341352778646465,-0.409183790146465,-0.415315559146465,-0.411439018646465,-0.572804018646465,-0.503541658646465,-0.491927864646465,-0.428040194646465,-0.190908651646465,0.0170883733535353,0.384661543353535,0.482023481853535,0.282915648853535,-0.0798805761464647,-0.300470546146465,-0.461992645396465,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"2",1,"LHH5-LHH6",-0.268945700020202,-0.328694450020202,-0.219602395020202,-0.264562170020202,-0.096042018520202,-0.104566313520202,0.083679121479798,0.123966826479798,0.054765517979798,0.117848857979798,-0.066249279020202,-0.157233736520202,-0.182197206520202,-0.267876461520202,-0.260035084520202,-0.309875777020202,-0.338430017520202,-0.196654007520202,-0.195732480020202,0.128359026479798,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"3",1,"LAM6-LAM7",0.234495970606061,-0.153657934793939,-0.115503509793939,-0.120524173293939,-0.101489178293939,-0.0635143703939394,-0.444687911893939,-0.315386035893939,-0.0335376379939394,-0.111271539993939,-0.141567314493939,-0.205357699493939,-0.436559381893939,-0.507480452393939,-0.346469178393939,-0.477588865893939,-0.393437790893939,-0.0545045228939394,0.0961767756060606,0.215664661606061,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"4",1,"LAM7-LAM8",0.144707154639343,-0.00530778436065657,0.453876600639343,0.663024458934343,0.656709318434343,0.752388210584343,0.578672605584343,0.535897560584343,0.687083930584343,0.816171298434343,0.621433502434343,0.791645354934343,0.425180304934343,0.133340904934343,0.147615880934343,-0.197222551565657,-0.0377061815656566,0.0817788184343434,-0.132744312565657,-0.108662876115657,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"5",1,"LAM2-LAM3",-0.011722470989899,0.027736927010101,0.016241663010101,0.275999743010101,0.312448700010101,0.240394877010101,0.305187518510101,-0.048248081489899,-0.217357781489899,-0.168731556489899,-0.145089918989899,0.036724255510101,0.014897160510101,0.016667765510101,-0.007853549489899,0.077236971010101,0.230035782510101,0.024596747510101,0.149961967510101,0.211646252510101,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"6",1,"LHH6-LHH7",-1.29167972484343,-1.60794374484343,-1.55028970234343,-1.42232993234343,-1.12038630234343,-0.900863012343434,-1.01247486534343,-1.08398539084343,-1.20375707584343,-1.36780077834343,-1.00731129234343,-0.854557963748434,-0.953311888748434,-0.972430868748434,-1.08434857874843,-1.28132588734343,-1.14563548234343,-0.983449599843434,-1.02760276984343,-1.03299652434343,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"7",1,"LAM3-LAM4",0.496050323181818,0.322790582681818,-0.0618078908181818,0.168168320681818,0.165018379557318,0.00151819005731819,0.194154828557318,0.221858728557318,0.339119714681818,0.655433054681818,0.374785296181818,0.376132919681818,0.540414941681818,0.289553234681818,0.494578321181818,0.102296661181818,-0.0446819008181818,0.459705116181818,0.580917145181818,0.627159595181818,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"8",1,"LHH7-LHH8",-0.686349410363636,-0.974513935363636,-0.979974913863636,-1.07546968386364,-0.933163431363636,-0.720442371363636,-0.819387028863636,-0.532140383363636,-0.579484351363636,-0.770584111363636,-0.533515760863636,-0.601457601863636,-0.723319713863636,-0.491873122363636,-0.391931435363636,-0.426710104863636,-0.171256811363636,-0.0849794528636364,-0.247312778863636,-0.393157728863636,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"9",1,"LIP5-LIP6",0.310360078639394,0.389303199939394,0.442605741939394,0.214092251939394,0.584929071939394,0.326377703439394,0.0499890504393939,-0.0759085145606061,-0.0608512945606061,-0.0560963660606061,0.0639684939393939,0.111941147439394,-0.214409372560606,0.0584075524393939,0.124423272439394,0.152293719939394,0.337572936439394,0.139964666439394,0.105477373439394,0.161490531439394,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"10",1,"LAM4-LAM5",-0.558689321919192,-0.695379246919192,-0.757216561919192,-0.653258961819192,-0.568265346819192,-0.733991996819192,-0.698176019319192,-0.625429749419192,-0.813678074419192,-0.640851814419192,-0.659731416419192,-0.806766871419192,-0.467649821419192,-0.331956716419192,-0.280148774769192,0.0309813052308081,0.0408808052308081,-0.0677407697691919,-0.170101309069192,-0.418406640569192,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
