"","trial","electrodes","pre_13","pre_12","pre_11","pre_10","pre_9","pre_8","pre_7","pre_6","pre_5","pre_4","pre_3","pre_2","pre_1","post_1","post_2","post_3","post_4","post_5","post_6","post_7","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_foregone","ineq_disadvent","ineq_advent","ineq_disadvent_choice","ineq_advent_choice","ineq_var","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",1,"LAM1-LAM2",0.0294536805151515,0.0867091905151515,0.0174969667651515,0.00768759076515151,0.0659099542651515,0.0193939632651515,0.00886232501515151,-0.0314921619848485,0.0187846391651515,0.00139286766515152,0.0344744331651515,0.0852707591651515,-0.0135382679848485,-0.0468822499848485,0.0752850565151515,0.0416264345151515,0.163729248015152,0.149682862015152,-0.0171443879848485,-0.0247945201848485,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"2",1,"LHH5-LHH6",0.114736587762626,0.0948674542626263,0.0718503842626263,0.0601137207626263,0.0196015472626263,0.166591410762626,0.264156419262626,0.174396270762626,0.171440170762626,0.0321251867626263,-0.0733038332373737,0.0315589932626263,-0.00692785823737373,-0.0556262392373737,-0.117802549237374,-0.0806459657373737,0.0594205522626263,0.177592837262626,0.254374397262626,0.185086373262626,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"3",1,"LAM6-LAM7",0.214202563050505,0.125610417750505,0.204554008750505,0.133584379750505,0.165057994750505,0.172596357550505,0.023606575550505,0.00540598055050505,-0.087254635449495,-0.082075697949495,0.0188509890505051,0.0272993655505051,0.00353832355050505,0.076075114050505,0.199756329050505,0.229587650550505,0.323753178550505,0.290896704550505,0.187198213550505,0.210115073050505,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"4",1,"LAM7-LAM8",0.0965571441959596,0.0306663091959596,-0.0342966488040404,-0.00762749282904041,-0.10016814782904,-0.11389947682904,-0.0823701418290404,-0.21930078440404,-0.13088657940404,-0.17176925890404,-0.0382137239040404,0.0987185410959596,-0.0138003579040404,0.0686216679959596,0.0507167029959596,-0.0318351835040404,-0.0629379405040404,-0.15428354290404,-0.25276436090404,-0.23703854340404,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"5",1,"LAM2-LAM3",0.0753821572424243,0.114196690742424,-0.00240560475757579,-0.0430883547575758,-0.133160076257576,-0.264286221257576,-0.403331555257576,-0.309555519707576,-0.177087469707576,-0.236028390707576,-0.0960825612075758,-0.247081871757576,-0.481978316757576,-0.317585943257576,-0.331099064757576,-0.257142820257576,-0.0216711842575758,-0.128164622757576,-0.208171568257576,-0.177094140757576,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"6",1,"LHH6-LHH7",-0.18080832575101,-0.22209029075101,-0.34400332125101,-0.25098310060101,-0.15315757410101,-0.10896451560101,0.0684642648989899,0.0309639098989899,0.0823057418989899,0.0598097123989899,-0.00837234460101011,-0.0575018276010101,-0.18571495610101,-0.18735225180101,-0.21433876780101,-0.13369878480101,0.0237221351989899,0.0096276018989899,0.0925562748989899,0.0247387898989899,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"7",1,"LAM3-LAM4",-0.109645051207071,-0.0962782462070707,-0.0255960682070707,-0.153048876207071,-0.228634171207071,-0.262521894207071,-0.315652298707071,-0.257254213707071,-0.177531899707071,-0.234257091707071,-0.129163805707071,-0.115910985707071,-0.181359040207071,-0.0939726512070707,-0.124194268707071,-0.215282411407071,-0.164322285907071,-0.213754844407071,-0.287427569507071,-0.198032940307071,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"8",1,"LHH7-LHH8",0.126730673767677,0.0845023022676768,-0.00260565823232323,0.102710248267677,0.105027900267677,0.167834003267677,0.299459682267677,0.248216233767677,0.320815235267677,0.295418628867677,0.394865189867677,0.306904529867677,0.210967884867677,0.119871253767677,-0.0175707612323232,-0.00941167773232321,0.120582607267677,0.321311489767677,0.393231714767677,0.405042104767677,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"9",1,"LIP5-LIP6",0.496305947,0.3984671881,0.3077405581,0.1909055131,-0.0097068869,0.026119883,0.092974898,0.609092563,0.770728947,0.665233236,0.5328976635,0.023375666,0.032244851,0.186089381,0.2274976325,0.34487884,0.339407723,0.2971215585,0.15886802178,0.06431105178,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
"10",1,"LAM4-LAM5",0.120639052724242,0.157494259574242,0.246739290774242,0.179381167774242,0.124839681274242,0.158474380424242,0.0298475789242424,0.0304181244242424,-0.0136767645757576,0.0634715503242424,0.0712282323242424,0.0899518883242424,0.126512917324242,0.158327193924242,0.225993213424242,0.290190719924242,0.316536359924242,0.375908047424242,0.339513414224242,0.215221229224242,3081,"DG_s15",-0.702,0.00200000000007,2.082,2.084,10,10,6,6,2.08,"Left",6,6,0,0,0,0,0,0,0,0,0,0,"10-10",4,4,10,6,10,6
