"","X","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p","predictor","region","anova_p","diff_adj_r2","perct_adj_r2","correction"
"1",1,"LOF1-LOF2","pre_15",0.00175795143046137,0.00124110086353299,0.394474587588879,0.530596506921802,3.56004101056296,0.885,"ineq_advent","OFC",0.0688728793881313,0.0103299521563905,-1.34358182377037,6
"2",2,"LOF1-LOF2","pre_14",0.00403893782838546,0.00185363898180975,0.916501642368252,0.33941818144103,3.56004101056296,0.885,"ineq_advent","OFC",0.780869354355504,-0.00411551574157931,-9.07578446707251,6
"3",3,"LOF1-LOF2","pre_13",0.00380298688256703,0.0018085721300073,0.862756085536298,0.353959560654634,3.56004101056296,0.885,"ineq_advent","OFC",0.862344252667064,-0.00430889519804722,-0.905884098703023,6
"4",4,"LOF1-LOF2","pre_12",0.000909747328602392,0.000899616611454126,0.205790113269941,0.650522566679936,3.56004101056296,0.885,"ineq_advent","OFC",0.594107984997992,-0.00320502230061481,0.81680602086299,6
"5",5,"LOF1-LOF2","pre_11",0.000258226244929161,0.000529907955694809,0.0583742051057755,0.809303351633021,3.56004101056296,0.885,"ineq_advent","OFC",0.626277835464416,-0.00343128390545,0.398809397754599,6
"6",6,"LOF1-LOF2","pre_10",0.000402369848193828,0.000612404450452316,0.0909721901581488,0.763222185219333,3.56004101056296,0.885,"ineq_advent","OFC",0.494242753028205,-0.00238466890254152,0.496879337977496,6
"7",7,"LOF1-LOF2","pre_9",0.00364485178838262,0.00186814998697506,0.826749884971255,0.36418266067143,3.56004101056296,0.885,"ineq_advent","OFC",0.210358205453723,0.00250833694909081,0.452142771256879,6
"8",8,"LOF1-LOF2","pre_8",0.000288945065287055,0.000523496150113856,0.0653204587791009,0.798508641975683,3.56004101056296,0.885,"ineq_advent","OFC",0.231337095909086,0.00193381358893596,-0.251745221698723,6
"9",9,"LOF1-LOF2","pre_7",0.00962205510007256,0.00305367390563475,2.19571171169016,0.139788213246425,3.56004101056296,0.885,"ineq_advent","OFC",0.398413335500701,-0.00127096293000828,-0.283076576267141,6
"10",10,"LOF1-LOF2","pre_6",0.0155081040885471,0.00381583900032013,3.56004101056296,0.0604681892477632,3.56004101056296,0.885,"ineq_advent","OFC",0.106085429588457,0.00711208852686829,-123.408205212101,6
"11",11,"LOF1-LOF2","pre_5",0.00967121532706794,0.00301400932477701,2.20703941735795,0.13877567469539,3.56004101056296,0.885,"ineq_advent","OFC",0.68631263168563,-0.0037180562692043,-0.903825874426548,6
