"","region","electrode","first_pred","stepped_pred","anova_perm_p"
"1","Insula","LIN1-LIN2","self_foregone","other_payoff",0
"2","Insula","LIN1-LIN2","self_foregone","ineq_advent",0.003
"3","Insula","LIN1-LIN2","self_foregone","ineq_disadvent",0
"4","Insula","LIN1-LIN2","self_foregone","other_foregone",0.006
