"","electrode","bin","R2","absBeta","Fstat","p","perm_p"
"1","LOF1-LOF2","bin_3",0.00973456923280241,0.00198645454584273,2.22163934866323,0.137482830470502,0
"2","LOF1-LOF2","bin_4",5.94848083478493e-06,5.84225659132605e-05,0.00134436466558884,0.970784019669763,0
"3","LOF1-LOF2","bin_5",0.000471347196517239,0.000571477166087844,0.106574700099007,0.744380123464282,0
"4","LOF1-LOF2","bin_6",0.00115477383592594,0.000880925444124524,0.261280606927977,0.609740721023759,0
"5","LOF1-LOF2","bin_7",0.00107861846401739,0.000909844193865653,0.244030989198672,0.621789536531755,0
"6","LOF1-LOF2","bin_8",0.00688169083923948,0.00240513147349469,1.56603912678078,0.212076942247187,0
"7","LOF1-LOF2","bin_9",0.00112521936029505,0.000964672398595447,0.25458604056839,0.614355852125152,0
"8","LOF1-LOF2","bin_10",0.000167690325113232,0.000365175133737575,0.037904369671664,0.845810193897519,0
"9","LOF1-LOF2","bin_11",0.000446905522629766,0.000629349099458668,0.101045806043086,0.750871734120462,0
"10","LOF1-LOF2","bin_12",0.00712564202625464,0.00249773812195581,1.62195255119695,0.204128029931834,0
"11","LOF1-LOF2","bin_13",0.0100654428562998,0.0029297124918318,2.2979196645961,0.130944818786881,0
"12","LOF1-LOF2","bin_14",0.00375672839700015,0.00172099442012309,0.852222185004996,0.356908982488274,0
"13","LOF1-LOF2","bin_15",0.00195821172256887,0.00128348783406174,0.443424167703834,0.506153470356657,0
"14","LOF1-LOF2","bin_16",0.00241458631135821,0.00140557323919583,0.547017326916605,0.460306524254325,0
"15","LOF1-LOF2","bin_17",0.00877994755844265,0.00270820753777092,2.00184423561693,0.158484289857109,0
"16","LOF1-LOF2","bin_18",0.00983308613805063,0.00274342428259487,2.24434631786664,0.135498986332012,0
"17","LOF1-LOF2","bin_19",0.000734234130641264,0.000739204961279864,0.166058839592649,0.684024194391569,0
"18","LOF1-LOF2","bin_20",0.00216807110308855,0.00136460311121369,0.491048697789899,0.484180702888295,0
"19","LOF1-LOF2","bin_21",9.15461930833943e-05,0.000300237158988015,0.0206913338496909,0.885751185788789,0
"20","LOF1-LOF2","bin_22",0.004317977781392,0.00222207255577598,0.980095007058725,0.323234090858976,0
"21","LOF1-LOF2","bin_23",0.018352159045101,0.00444121208294227,4.22512816832384,0.0409790281511972,0
"22","LOF1-LOF2","bin_24",0.0430757156834513,0.00697747359534951,10.1733354498501,0.00162686274840863,0
"23","LOF1-LOF2","bin_25",0.0270571910993459,0.00536607529833983,6.28497906815462,0.0128800846498866,0
"24","LOF1-LOF2","bin_26",0.0172304573814336,0.00406351264398854,3.96235658446263,0.0477332158094512,0
"25","LOF1-LOF2","bin_27",0.00331778816919308,0.00188943478531472,0.75231615186579,0.386663914164539,0
"26","LOF1-LOF2","bin_28",0.0023439213230234,0.0018016048802905,0.530970772719369,0.466953406838198,0
"27","LOF1-LOF2","bin_29",0.000206254837369015,0.000558510347557354,0.046623209507892,0.829241679796861,0
"28","LOF1-LOF2","bin_30",0.00236876373943306,0.00164315008131595,0.536611711476171,0.464599384303874,0
"29","LOF1-LOF2","bin_31",0.00044885602104794,0.000627896648426678,0.101487013814043,0.750346614432843,0
"30","LOF1-LOF2","bin_32",0.000937239376912178,0.000987719718204671,0.212014807808519,0.645635507864422,0
"31","LOF1-LOF2","bin_33",1.44100325941183e-05,0.000141425816644433,0.00325671429562988,0.95454174507017,0
"32","LOF1-LOF2","bin_34",0.000847963995944341,0.00106523448580924,0.19180250470174,0.661838907122999,0
"33","LOF1-LOF2","bin_35",0.000563672553080653,0.000824079002555931,0.127461843739108,0.72141147305928,0
"34","LOF1-LOF2","bin_36",0.00041800476666473,0.000703407383705393,0.0945085823041228,0.75880492115386,0
"35","LOF1-LOF2","bin_37",0.00312759238110617,0.00196001380429433,0.709053508480916,0.400648378625105,0
"36","LOF1-LOF2","bin_38",0.000223026778842378,0.000537559555570781,0.0504152959794441,0.822545066239371,0
"37","LOF1-LOF2","bin_39",0.00146837184115682,0.00135747942129343,0.332340034850305,0.56485813582917,0
"38","LOF1-LOF2","bin_40",0.000463835946388991,0.000799256657461731,0.104875568942686,0.746354896039208,0
"39","LOF1-LOF2","bin_41",0.00182065373252827,0.00157647588756035,0.412218250247318,0.52149645208274,0
"40","LOF1-LOF2","bin_42",0.00456948139286635,0.0024187657599673,1.03744337297677,0.309505939278261,0
"41","LOF1-LOF2","bin_43",0.000220324700107831,0.000499963915657589,0.0498043553540272,0.82360564067198,0
"42","LOF1-LOF2","bin_44",0.00228764851765148,0.00153409848290894,0.518194010749782,0.47235686949726,0
"43","LOF1-LOF2","bin_45",0.000617338225300227,0.000779664240890785,0.139604622187556,0.709024648333115,0
"44","LOF1-LOF2","bin_46",0.000213981686290352,0.000454519932532067,0.04837021144103,0.826122417424959,0
"45","LOF1-LOF2","bin_47",0.000465325695815825,0.000700073240290439,0.105212565364563,0.745961831656153,0
"46","LOF1-LOF2","bin_48",0.00030415273183545,0.000564021133056915,0.068759430763518,0.793390538506619,0
"47","LOF1-LOF2","bin_49",0.000329432874556828,0.000584844517081467,0.0744763646127239,0.785176534711715,0
"48","LOF1-LOF2","bin_50",0.00011858675377233,0.000340521480711883,0.0268037849263899,0.87009897816364,0
"49","LOF1-LOF2","bin_51",9.89436525503674e-05,0.000294054399694616,0.0223634782005999,0.881257573334409,0
"50","LOF1-LOF2","bin_52",0.00124960396775564,0.00101040423548165,0.282763839528587,0.595417695962031,0
"51","LOF1-LOF2","bin_53",0.000180051095726536,0.000388379699331898,0.0406988755113277,0.840301753322614,0
"52","LOF1-LOF2","bin_54",0.00238515546499385,0.00152598180164581,0.540333915480038,0.463056464668786,0
"53","LOF1-LOF2","bin_55",0.000476573117012386,0.000694440533815051,0.107756878476254,0.743016425556295,0
"54","LOF1-LOF2","bin_56",0.00218639664546652,0.00148141036355979,0.49520836378081,0.482337507944171,0
"55","LOF1-LOF2","bin_57",0.00940388832402137,0.00299057070312848,2.14545437457158,0.144382386910536,0
"56","LOF1-LOF2","bin_58",0.00306002528593857,0.00173123297945886,0.693688418723975,0.405791937580035,0
"57","LOF1-LOF2","bin_59",0.00309693420886158,0.00167368567367237,0.70208143120442,0.402970444335879,0
"58","LOF1-LOF2","bin_60",0.00106533729997857,0.000953277582915818,0.241023000587836,0.623944597363366,0
"59","LOF1-LOF2","bin_61",0.00210302933680763,0.00138759335237715,0.47628627412573,0.490817408307462,0
"60","LOF1-LOF2","bin_62",0.00989277340606886,0.0030476911222201,2.25810571796635,0.134312560586874,0
"61","LOF1-LOF2","bin_63",0.00323229516307911,0.00173665036985995,0.732867551096467,0.392862017540486,0
"62","LOF2-LOF3","bin_3",0.0140482257452045,0.00215313580098365,3.22013621895035,0.0740740049012379,0
"63","LOF2-LOF3","bin_4",0.00616210325972514,0.00184756262339011,1.40127010779689,0.237754610798727,0
"64","LOF2-LOF3","bin_5",0.00108965064297071,0.000841442658102982,0.246529676531924,0.620011898787353,0
"65","LOF2-LOF3","bin_6",0.000310744469013741,0.000456003380474623,0.0702500798208575,0.791214597435323,0
"66","LOF2-LOF3","bin_7",0.0143352223318068,0.00305738523503067,3.28687837933369,0.0711623823770458,0
"67","LOF2-LOF3","bin_8",0.0275117077086933,0.00441128752542374,6.3935432348652,0.0121361052856365,0
"68","LOF2-LOF3","bin_9",0.00393055325413108,0.00180696826665395,0.891810343481262,0.345995677944748,0
"69","LOF2-LOF3","bin_10",0.000271968654520906,0.000466750594137648,0.0614816369998173,0.804394435144501,0
"70","LOF2-LOF3","bin_11",0.00408774687298355,0.00183866912158065,0.927622680003777,0.336510823114029,0
"71","LOF2-LOF3","bin_12",0.0119744499909603,0.00306619108758461,2.73902400391595,0.0993125626554072,0
"72","LOF2-LOF3","bin_13",0.0101857965490844,0.00265489544631697,2.32567891233258,0.128652842729569,0
"73","LOF2-LOF3","bin_14",0.0158043351951419,0.00352570605009512,3.62913583327994,0.0580457682388898,0
"74","LOF2-LOF3","bin_15",0.0172221768143777,0.00399094819840125,3.96041899626201,0.0477871969186924,0
"75","LOF2-LOF3","bin_16",0.0126111252543176,0.00319869475216861,2.88651652897129,0.0906999399803839,0
"76","LOF2-LOF3","bin_17",0.0142382682163514,0.00316659998070667,3.26432697998228,0.072132120413816,0
"77","LOF2-LOF3","bin_18",0.00945227485822124,0.00253877018534879,2.15659888336247,0.143349074903295,0
"78","LOF2-LOF3","bin_19",0.000422230920400055,0.000532241713646072,0.0954644960724545,0.757626485630306,0
"79","LOF2-LOF3","bin_20",0.000123428164292689,0.000321383846578016,0.0278982085548166,0.867497707401105,0
"80","LOF2-LOF3","bin_21",0.000466687581726116,0.000693988750684397,0.105520638641772,0.745603111013955,0
"81","LOF2-LOF3","bin_22",0.000906677155921459,0.000986412573082232,0.205094992182455,0.651073827046898,0
"82","LOF2-LOF3","bin_23",0.0110764457977544,0.0034538539967212,2.53131472059218,0.113004980202698,0
"83","LOF2-LOF3","bin_24",0.0494746237745887,0.00735899422878819,11.7632472027822,0.000717985997762117,0
"84","LOF2-LOF3","bin_25",0.0722091446846839,0.00872737826815002,17.5893808450961,3.93753904223772e-05,0
"85","LOF2-LOF3","bin_26",0.0679877324125236,0.00827903735786296,16.4860786274878,6.75758195014964e-05,0
"86","LOF2-LOF3","bin_27",0.0401692085074133,0.00670209313859666,9.45816825542581,0.00236113197657558,0
"87","LOF2-LOF3","bin_28",0.0246434622575864,0.00537543893258966,5.71014009205871,0.0176882983359851,0
"88","LOF2-LOF3","bin_29",0.00419095904983919,0.00221637177451675,0.951142946402573,0.330471272662961,0
"89","LOF2-LOF3","bin_30",0.00193511953714933,0.00150428144960461,0.438184955664341,0.508674197305566,0
"90","LOF2-LOF3","bin_31",0.000358964788266636,0.000633352584834225,0.0811551739981108,0.775998894482107,0
"91","LOF2-LOF3","bin_32",0.000397328856307146,0.00067096522968755,0.0898320143769471,0.764666297662098,0
"92","LOF2-LOF3","bin_33",0.00036767899852033,0.000673363033623301,0.0831260173564071,0.773369239167932,0
"93","LOF2-LOF3","bin_34",0.00167306534841806,0.00145314728690839,0.378746436280859,0.538894117733474,0
"94","LOF2-LOF3","bin_35",0.00635636989803174,0.00279375741208499,1.44572918643654,0.23047273703128,0
"95","LOF2-LOF3","bin_36",0.00315196978622776,0.00193783011969064,0.714597561610984,0.398815808064083,0
"96","LOF2-LOF3","bin_37",3.70349433793432e-05,0.000203214613488053,0.00837020719388107,0.927185216221135,0
"97","LOF2-LOF3","bin_38",5.9061915015764e-06,8.38088351988982e-05,0.00133480716298299,0.970888011042208,0
"98","LOF2-LOF3","bin_39",0.00014914303399236,0.000436309254873084,0.0337113534958137,0.854486772631564,0
"99","LOF2-LOF3","bin_40",0.00305724417448473,0.00214149631596417,0.693056024928352,0.406005702034483,0
"100","LOF2-LOF3","bin_41",0.0018707578061262,0.00176221244253279,0.423583686672912,0.515815395549218,0
"101","LOF2-LOF3","bin_42",0.00174985697906244,0.00154867245979936,0.396160902187636,0.529714355695739,0
"102","LOF2-LOF3","bin_43",0.00327651448236214,0.00192764867938451,0.742926482392733,0.389638658228137,0
"103","LOF2-LOF3","bin_44",0.00152767118628902,0.00124414625816941,0.345781929191284,0.557097778766216,0
"104","LOF2-LOF3","bin_45",0.0010302407001166,0.00100961529981815,0.233074521084133,0.629720737033654,0
"105","LOF2-LOF3","bin_46",0.000229966438398008,0.000470209236228467,0.0519843697383108,0.819851757721559,0
"106","LOF2-LOF3","bin_47",0.000629861472918178,0.000794077038847681,0.142438409345819,0.706223011179348,0
"107","LOF2-LOF3","bin_48",0.00889868802663267,0.00315294894490573,2.02916035900982,0.1556851952409,0
"108","LOF2-LOF3","bin_49",0.00555043410526898,0.0024117872518395,1.26139942216393,0.262578031333537,0
"109","LOF2-LOF3","bin_50",0.000476667975296836,0.000701459686587124,0.107778336898715,0.742991749034708,0
"110","LOF2-LOF3","bin_51",0.00240121959195464,0.0014592917685215,0.543981847651998,0.461552259703036,0
"111","LOF2-LOF3","bin_52",0.00473734050518521,0.00203364985794078,1.07573507752748,0.300762048541366,0
"112","LOF2-LOF3","bin_53",0.000765345060505946,0.000812519662594217,0.173100465260402,0.677765709845061,0
"113","LOF2-LOF3","bin_54",0.000748519049249387,0.000803187142036755,0.169292023434788,0.681131695559188,0
"114","LOF2-LOF3","bin_55",0.00144857947660448,0.00107945761122377,0.327853884120475,0.567494719891918,0
"115","LOF2-LOF3","bin_56",0.00492659103524982,0.00203968409326512,1.1189220452839,0.291280006440199,0
"116","LOF2-LOF3","bin_57",0.00412509032374529,0.00196971541029253,0.936132042396272,0.334308822820069,0
"117","LOF2-LOF3","bin_58",4.48364403502736e-05,0.000206290532598771,0.0101334898687759,0.919905453764541,0
"118","LOF2-LOF3","bin_59",6.07295253189464e-07,2.38335304676505e-05,0.00013724881057137,0.99066307295835,0
"119","LOF2-LOF3","bin_60",0.00320553029103502,0.00169354388310803,0.726779559667334,0.394831591909154,0
"120","LOF2-LOF3","bin_61",0.00548093616337985,0.00209528766246958,1.24551817855081,0.265595412330711,0
"121","LOF2-LOF3","bin_62",0.00333791155197521,0.00155650205039809,0.756894457499711,0.385225234812047,0
"122","LOF2-LOF3","bin_63",0.00131250455699845,0.000956859706358677,0.297015864557381,0.586296683949456,0
"123","LOF3-LOF4","bin_3",0.000600323743269046,0.000496472165617862,0.135754662726098,0.712883363358273,0.029
"124","LOF3-LOF4","bin_4",0.000426194517690252,0.000517098803517792,0.0963610295405061,0.756527114533127,0.029
"125","LOF3-LOF4","bin_5",0.002661512663261,0.00132372862197224,0.60310703891837,0.438207030664467,0.029
"126","LOF3-LOF4","bin_6",0.00265138002951666,0.00130042041792013,0.600804848648106,0.439081353671249,0.029
"127","LOF3-LOF4","bin_7",0.000233168222273049,0.000388522381272518,0.0527083081362162,0.818623541125705,0.029
"128","LOF3-LOF4","bin_8",0.00328038175867677,0.00149994395240623,0.743806245901996,0.389358549888629,0.029
"129","LOF3-LOF4","bin_9",0.00294876215136857,0.00135174399666124,0.668391172801964,0.414474140019235,0.029
"130","LOF3-LOF4","bin_10",0.000190499228148658,0.000336779372584235,0.0430610286543187,0.835797264318336,0.029
"131","LOF3-LOF4","bin_11",1.86992193999178e-05,0.000119672431652713,0.00422610260920133,0.948224713928171,0.029
"132","LOF3-LOF4","bin_12",0.0018428470848871,0.00111177344393324,0.41725237350466,0.518966592359656,0.029
"133","LOF3-LOF4","bin_13",0.00625334698843945,0.00199586477090379,1.42214961439561,0.234300492015692,0.029
"134","LOF3-LOF4","bin_14",0.014344085389535,0.00294789461381365,3.28894013618949,0.0710744286877023,0.029
"135","LOF3-LOF4","bin_15",0.00500359414719165,0.00182286656009044,1.13649885629094,0.287530906701599,0.029
"136","LOF3-LOF4","bin_16",0.00171601358225896,0.00106974394726534,0.388485716356305,0.533724949047453,0.029
"137","LOF3-LOF4","bin_17",0.00440489658752494,0.00174588834379816,0.999911133922279,0.318401446004199,0.029
"138","LOF3-LOF4","bin_18",0.00165315775394309,0.00107288720049808,0.374232317448505,0.541321184722134,0.029
"139","LOF3-LOF4","bin_19",0.000726615978833542,0.000679175595686415,0.164334619376695,0.685580180592948,0.029
"140","LOF3-LOF4","bin_20",0.00374059066995891,0.00150408321025605,0.84854756049853,0.357945812575359,0.029
"141","LOF3-LOF4","bin_21",0.00102271322205235,0.000792194090275236,0.231369813150925,0.630975336598355,0.029
"142","LOF3-LOF4","bin_22",0.000124413087097807,0.000273774501813938,0.0281208562866468,0.866974965700688,0.029
"143","LOF3-LOF4","bin_23",0.00055705560688422,0.000614717600457472,0.125964736518581,0.722984166565722,0.029
"144","LOF3-LOF4","bin_24",0.00289383462672901,0.00143112366262885,0.655904705389045,0.418861373453632,0.029
"145","LOF3-LOF4","bin_25",0.00141175600747676,0.00102569225174055,0.319507924922194,0.572464209160822,0.029
"146","LOF3-LOF4","bin_26",0.00383489933683604,0.00180648113025112,0.87002370344833,0.35194415970757,0.029
"147","LOF3-LOF4","bin_27",0.00375619216714674,0.00179268954722441,0.852100081426644,0.356943368633754,0.029
"148","LOF3-LOF4","bin_28",0.000750658936350073,0.000788318331600597,0.169776363759754,0.680701180011302,0.029
"149","LOF3-LOF4","bin_29",0.00670659561956811,0.00230931528806226,1.52592436770262,0.218007758583192,0.029
"150","LOF3-LOF4","bin_30",0.00402299690436118,0.00172419396291771,0.912869772655104,0.340374993563776,0.029
"151","LOF3-LOF4","bin_31",0.00018342027071805,0.000353001533512328,0.0414605858941681,0.838834680994839,0.029
"152","LOF3-LOF4","bin_32",0.000150350837995777,0.000322652112241171,0.0339843989699095,0.853905315254891,0.029
"153","LOF3-LOF4","bin_33",0.000976448303291067,0.000838695489932612,0.220893007145818,0.638813525624222,0.029
"154","LOF3-LOF4","bin_34",5.80466019279142e-05,0.000195760937030175,0.0131192935661198,0.908911841930605,0.029
"155","LOF3-LOF4","bin_35",0.000151047757970506,0.000311046062429903,0.0341419503663898,0.853570904102077,0.029
"156","LOF3-LOF4","bin_36",0.00029304800000695,0.000475616497962852,0.066248261922231,0.797113941416665,0.029
"157","LOF3-LOF4","bin_37",9.98779615195714e-05,0.000291899614950615,0.0225746740158458,0.880702406992626,0.029
"158","LOF3-LOF4","bin_38",0.000146959237235115,0.000373654280717679,0.0332176692584729,0.855544299356899,0.029
"159","LOF3-LOF4","bin_39",0.0018360282720872,0.00123611942738098,0.415705636793727,0.519741582013181,0.029
"160","LOF3-LOF4","bin_40",0.00657072033261978,0.00233108356371001,1.49480473906434,0.222745946824897,0.029
"161","LOF3-LOF4","bin_41",0.0173015330945824,0.00378081233016519,3.97898909081332,0.0472724911130887,0.029
"162","LOF3-LOF4","bin_42",0.0111837823286445,0.00283892414074571,2.55612191740338,0.111264886543828,0.029
"163","LOF3-LOF4","bin_43",8.05729031219846e-05,0.00024173385033638,0.018210943414148,0.892773153891902,0.029
"164","LOF3-LOF4","bin_44",0.000637582496152723,0.000721389078134514,0.144185574328905,0.704511511062335,0.029
"165","LOF3-LOF4","bin_45",0.00566890962386043,0.00219838453991558,1.28847783941646,0.257531070207625,0.029
"166","LOF3-LOF4","bin_46",0.00342323307944437,0.00160446085552286,0.776308159726646,0.379208662693521,0.029
"167","LOF3-LOF4","bin_47",0.000585809427162808,0.000638075228273183,0.132470533025863,0.716224403707394,0.029
"168","LOF3-LOF4","bin_48",0.00710132527834367,0.00229994595679592,1.61637793841912,0.204904465290812,0.029
"169","LOF3-LOF4","bin_49",0.033664965652331,0.00504062839674117,7.87333788696053,0.00545445936179764,0.029
"170","LOF3-LOF4","bin_50",0.0213007520450104,0.00398986619708074,4.91874288473322,0.0275621788893689,0.029
"171","LOF3-LOF4","bin_51",0.00578226586789343,0.00204638236255072,1.31439225159735,0.252813335105946,0.029
"172","LOF3-LOF4","bin_52",0.00435498220956472,0.00178180193823732,0.988531014342692,0.32116499068016,0.029
"173","LOF3-LOF4","bin_53",0.00119564985633789,0.000940506129156549,0.270540339049883,0.603478664144264,0.029
"174","LOF3-LOF4","bin_54",5.88069979642089e-05,0.000200550880143828,0.0132911631533157,0.908319765237142,0.029
"175","LOF3-LOF4","bin_55",0.00045576744865746,0.000577551616646665,0.103050410419226,0.748495939091871,0.029
"176","LOF3-LOF4","bin_56",0.00197601300726698,0.00119389598699559,0.447463132612653,0.504224854935294,0.029
"177","LOF3-LOF4","bin_57",0.000944208514293861,0.000880554186112407,0.213592800371115,0.644410459070964,0.029
"178","LOF3-LOF4","bin_58",5.02891750484998e-05,0.000199356460544861,0.0113659251439601,0.9151920916212,0.029
"179","LOF3-LOF4","bin_59",0.00028543088554808,0.000443552913540782,0.0645257977894698,0.799711614554471,0.029
