"","trial","electrodes","bin_1","bin_2","bin_3","bin_4","bin_5","bin_6","bin_7","bin_8","bin_9","bin_10","bin_11","bin_12","bin_13","bin_14","bin_15","bin_16","bin_17","bin_18","bin_19","bin_20","bin_21","bin_22","bin_23","bin_24","bin_25","bin_26","bin_27","bin_28","bin_29","bin_30","bin_31","bin_32","bin_33","bin_34","bin_35","bin_36","bin_37","bin_38","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_disadvent","ineq_advent","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",1,"POL RIN12-Ref-POL RIN13-Ref",-0.179388114,-0.16930925,0.0354881966666667,0.135553590666667,0.238382281333333,0.077120968,0.060041728,-0.107869062666667,-0.0796206173333333,-0.153009189333333,-0.0825253023666667,-0.116961898366667,-0.176622555033333,-0.143167287333333,-0.134558327333333,-0.00864155160000001,-0.0716555796,0.0635944497333333,0.0830152446666667,0.195939918666667,0.149021680666667,0.234509392,0.0694547166666667,0.207648769333333,0.117014426,0.219045820666667,0.140274648,0.0506167626666667,0.003537136,-0.040365968,0.0738709906666667,0.148013097333333,0.0934062873333333,0.00620023066666667,-0.0296834026666667,-0.0885491293333333,-0.037919556,-0.136840097666667,1485,"DG_s08",-0.671,0,1.25,1.266,10,10,10,18,1.25,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"2",1,"POL LIN11-Ref-POL LIN12-Ref",-0.28239555785,-0.321066229183333,-0.299590460716667,-0.225453058716667,-0.303271456716667,-0.358019239183333,-0.356278432716667,-0.290472744583333,-0.26600435525,-0.258473174383333,-0.18973663585,-0.27866900185,-0.0992529311833333,-0.127304013183333,0.05105291815,-0.0924969351833333,-0.0761475065166667,-0.07939941225,-0.0401334309166667,-0.0783092795833333,-0.125069734516667,-0.00315090385,0.04028225535,0.00364766001666667,-0.0968684519833333,-0.0422383491833333,0.0165721228166667,0.0700727834833333,0.0509515168166667,0.09408961815,0.01377064415,0.01213356015,-0.05613404185,-0.0204965551833333,-0.0463191111833333,-0.0359853731833333,-0.109083350516667,-0.131267390516667,1485,"DG_s08",-0.671,0,1.25,1.266,10,10,10,18,1.25,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"3",1,"POL RAM8-Ref-POL RAM9-Ref",-0.421657938666667,-0.451654493333333,-0.39579165,-0.337102637333333,-0.325141389333333,-0.326323107466667,-0.293571098133333,-0.287231384133333,-0.234077517333333,-0.210807315333333,-0.121370057333333,-0.143752876,-0.128024395333333,-0.257557767333333,-0.237023201333333,-0.315833996,-0.235729128,-0.207979837333333,-0.186525864666667,-0.0885518926666667,-0.109537034666667,-0.0532295473333333,-0.134226167333333,-0.157581434666667,-0.130977832,-0.0994272953333333,-0.10230315,-0.06659438,-0.05918037,-0.0537677626666667,-0.0666902986666666,-0.147318472,-0.143860078666667,-0.291556365333333,-0.220777656,-0.205003144666667,-0.0918710726666667,-0.136836853333333,1485,"DG_s08",-0.671,0,1.25,1.266,10,10,10,18,1.25,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"4",1,"POL LIN10-Ref-POL LIN11-Ref",0.03909488025,0.146551299583333,0.07153094425,0.11778511085,-0.0801697544833333,-0.10111553915,-0.122206137083333,-0.0978483610833333,-0.181709221083333,-0.25298469775,-0.202929523616667,-0.173097090283333,-0.03627422095,-0.0651950570833333,0.0268841429166667,-0.0267765624166667,0.02881975625,0.0125448469166667,0.03805005425,-0.0162387944166667,-0.0358042510833333,0.01316527825,0.114520287583333,0.21290732025,0.34644334625,0.330546099583333,0.25423616625,0.286250899583333,0.24255934225,0.286774713583333,0.12321597625,0.207988701916667,0.179413114583333,0.265047854583333,0.229303672916667,0.25879413425,0.116425951583333,0.122091144916667,1485,"DG_s08",-0.671,0,1.25,1.266,10,10,10,18,1.25,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"5",1,"POL RIN3-Ref-POL RIN4-Ref",-0.2728358915,-0.258091580833333,-0.290009322166667,-0.269918668166667,-0.4070810255,-0.345814008833333,-0.2889566175,-0.243939914833333,-0.2339014235,-0.2435529575,-0.2276957715,-0.241102960966667,-0.2510545483,-0.294630656966667,-0.438261572166667,-0.487026102166667,-0.437610758166667,-0.2671303295,-0.1011908495,-0.105867322833333,-0.0618685981666666,-0.153054498166667,-0.218285906166667,-0.3452818495,-0.324691004966667,-0.241973552966667,-0.175912880966667,-0.0443534988333333,-0.0138630928333333,-0.0264962928333333,-0.1900905195,-0.178041944166667,-0.0247904861666666,-0.0284264855,-0.0345088241666666,-0.2428829075,-0.157054574833333,-0.215648460833333,1485,"DG_s08",-0.671,0,1.25,1.266,10,10,10,18,1.25,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"6",1,"POL RIN2-Ref-POL RIN3-Ref",-0.0535538166,-0.1344412266,-0.0973633659333333,0.0321493834,-0.00235875466666667,0.0479431686666667,-0.00169812466666667,0.0163195324666667,0.0704055258,0.00744607646666667,0.0635229273333333,0.0121048524,0.113983765733333,0.138395703733333,0.0738567273333333,0.127801387333333,0.0638262993333333,0.219467852666667,0.166134764666667,0.167076414666667,0.0264696286666667,-0.0029004,-0.00711043333333333,0.15672512,0.191034258,0.208408611333333,0.156610287866667,0.181258926533333,0.166695536533333,0.15441307,0.049526736,0.0644489053333333,-0.0230788713333333,0.016194908,0.186273068666667,0.270922748666667,0.308017122,0.154693355333333,1485,"DG_s08",-0.671,0,1.25,1.266,10,10,10,18,1.25,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"7",1,"POL LIN1-Ref-POL LIN2-Ref",0.0569589148333333,0.120657348166667,0.0609358955,0.0820953995666667,-0.0218570951,0.1040983069,0.120785106166667,0.224655274166667,0.214410412166667,0.285147314833333,0.3010341635,0.1899673035,0.1689615875,0.142624240833333,0.169837031633333,0.0743659269666667,-0.0461048750333333,-0.1082071303,-0.0687521883,0.108778475033333,0.142824976833333,0.352537404166667,0.363675860833333,0.3620713795,0.1025508395,-0.0475935871666667,-0.100600949833333,-0.102328869166667,-0.0779052158333333,0.0280094628333333,0.0419627461666667,0.0379253461666667,-0.0411852925,-0.0762959565,0.102333630166667,0.227808134166667,0.381067559833333,0.279217773166667,1485,"DG_s08",-0.671,0,1.25,1.266,10,10,10,18,1.25,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"8",1,"POL RIN9-Ref-POL RIN10-Ref",-0.2401781639,-0.286508915433333,-0.287053677433333,-0.2585022953,-0.199600482633333,-0.1964170713,-0.253988088366667,-0.359010798366667,-0.332472743033333,-0.2716130257,-0.1232272157,-0.1641777837,-0.156188267033333,-0.2837942857,-0.113224215033333,-0.0403548177,-0.0584092057,-0.216991443033333,-0.226694661033333,-0.1040001757,0.118942021633333,0.170788951033333,0.0799800017,-0.0633555723666667,-0.137629010433333,-0.105296771766667,-0.271443491033333,-0.4129626357,-0.462069502366667,-0.440095469033333,-0.2873483157,-0.291015382966667,-0.245170226966667,-0.312115061633333,-0.325736900366667,-0.300852499033333,-0.251696004366667,-0.159540180566667,1485,"DG_s08",-0.671,0,1.25,1.266,10,10,10,18,1.25,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"9",1,"POL LIN2-Ref-POL LIN3-Ref",0.0342417024166667,0.05404921575,0.0374573904166667,0.000185135083333333,0.0375378724166667,0.00490558441666667,0.0704570210833333,0.0826614604166667,0.10320008575,0.05976496375,0.148010084416667,0.154025354416667,0.25865412575,0.273279177083333,0.17837730175,0.0568273830833333,-0.07396061225,-0.107440798916667,-0.0509109215833333,0.0810587050833333,0.108618245083333,0.179707584416667,-0.0244940955833333,0.00872388775,-0.0995501675833333,0.06055864695,0.06628148895,0.136590842283333,0.0705411964166667,0.167105050416667,0.17538278975,0.205283081083333,0.137209915083333,0.0416951142833333,0.0448521456166667,0.0714727436166667,0.14604363775,0.106516819083333,1485,"DG_s08",-0.671,0,1.25,1.266,10,10,10,18,1.25,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"10",1,"POL LIN3-Ref-POL LIN4-Ref",-0.0820752463333333,-0.0597079556666667,-0.0533513830666667,-0.0458458870666667,-0.0110303770666667,0.0376567425333333,0.00489430853333333,-0.0333127341333333,-0.0793116195333333,-0.0288371655333333,0.0215441344666667,0.00441356246666667,0.0507456244666667,0.0948881558,0.0313312032,-0.0789719188,-0.166353819066667,-0.170191053733333,-0.0992936990666667,-0.0375399948,0.0582088198666667,-0.0387972881333333,-0.0970416248,-0.124738678266667,0.0100213477333333,0.0852404010666667,0.166892973866667,0.1369948452,0.126579770533333,0.0928549245333333,0.0684407952,0.0489282445333333,0.0231163792,-0.0137653641333333,0.0146587945333333,0.0236075865333333,0.1265487312,0.0322104238666667,1485,"DG_s08",-0.671,0,1.25,1.266,10,10,10,18,1.25,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
