"","trial","time_1","time_2","time_3","time_4","time_5","time_6","time_7","time_8","time_9","time_10","time_11","time_12","time_13","time_14","time_15","time_16","time_17","time_18","time_19","time_20","time_21","time_22","time_23","time_24","time_25","time_26","time_27","time_28","time_29","time_30","time_31","time_32","time_33","time_34","time_35","time_36","time_37","time_38","time_39","time_40","time_41","time_42","time_43","time_44","electrodes","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_disadvent","ineq_advent","ineq_disadvent_choice","ineq_advent_choice","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",1,0.728056476775626,0.375389984381181,-0.721702547155513,-0.381743914001294,-0.544199708496935,0.356959520791116,-0.590650644805708,1.15500616812818,1.43638758135778,-0.581016200226912,0.889690525439225,-0.152975525767495,0.316380696208074,1.46489255345616,-0.562513773886228,-0.523053674927382,0.744888686676291,0.666627022153876,0.209017254472246,-0.172976192474165,0.185920357487993,-1.16384548474602,-0.824449920145523,-0.417463034639616,-0.00772723328644664,-0.12255901153676,-0.0608827641367715,0.147589862859324,-0.443258853017214,-0.899018845029661,-0.416741444270518,0.214253033662226,0.365595481369087,-0.0531256696202758,0.0396029946362528,-0.116672765681226,-1.11242239996977,-0.470660862922054,-0.369171697391816,0.113454054235172,0.125008477588426,1.02048843847203,0.412707747388376,-0.508366630982312,"LIN2-LIN3",2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"2",1,-0.154695337223687,0.100806572226472,-0.83204823975379,0.885937004751005,0.255201116823796,-0.17017082284897,-0.64164308217684,0.865838460330226,1.63498015944507,-0.977637154938129,0.847397779204247,0.628762124329227,1.77491815487133,0.16587136050654,0.461462881163759,0.0130913488946978,0.13322550172478,-0.197350793694854,0.475645839626868,0.483038027731281,0.26166618515646,-0.136733689290625,-0.20953979463523,0.591396968878514,0.672157724777868,1.87407145881836,1.13147689333581,0.33679690989496,0.367832306842266,-2.43487833094402,0.0274425142331118,0.633984651041231,-0.154695337223687,0.899854755179918,-0.234903378181945,-0.195104118083646,-0.226763152985569,-0.636078679902204,-0.284266909465369,0.372570450446326,0.401057289968267,0.372816163122723,0.993293968950403,0.367134906084635,"RIN1-RIN2",2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"3",1,-0.755919870331331,0.385354037075579,-0.044278964387054,0.414844797642805,0.426212490743215,-0.529003504919369,0.742778815622793,1.5027704293433,0.331559065134247,0.689732460087654,-0.118295092308529,0.247207572580642,0.360910560401344,0.676049957595244,-0.0750341191716277,0.567032857884835,0.996107277848531,0.0448331513095166,-0.404404170517939,0.21072808921408,1.85750292680411,-0.818115828033155,0.596426156581468,0.779574151374104,0.58391016578997,0.00784062457560442,0.0480835499855727,0.294355931180486,0.382016285236013,-0.656603030044927,0.735751379815336,-0.0688022457349762,0.631216202318264,-0.166699602790188,-0.0996533286641186,-0.761737659096869,-0.990165238557684,0.0945540786669294,-0.0381667977514155,-0.500844020417386,1.2343560294879,0.339975407249489,-0.0851727180835442,0.287425486794766,"LIN3-LIN4",2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"4",1,-0.727177990809754,1.28771203267634,-0.78616146774216,0.225627425875569,0.933003292928766,1.5675783543279,0.64331788090881,0.213357333283755,0.82145495056355,1.44640509294408,1.68428231369112,0.899845255657477,1.52244401372995,1.78280761908556,1.07052936463367,1.11290054614075,1.3439631234326,0.466885071381918,1.33750433110428,1.36747076249824,1.83196287945888,2.53408977348557,1.58580244811376,0.874549058908672,1.59475320222257,2.48148482590439,1.43120791135552,0.719192675433568,0.11856459428966,0.00947794483768094,2.67995435708766,1.03856392198485,1.43628440645537,2.0421350090997,1.39067299898495,1.53867403193772,-0.0290523860589911,1.50037191624138,1.36962857100291,1.08782086174373,1.38157967146692,0.912786971000045,0.738465999291501,1.23651450210793,"LIN4-LIN5",2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"5",1,-0.0334861138332667,0.55168164963529,-0.962547478449521,0.444351942647498,-0.501831730788001,1.10098775833738,0.385704257224519,0.256770573848626,-0.0421079403613054,-0.64363870047923,0.812285633720808,-0.520108317224111,-0.291879995424552,-1.10983497344228,-0.00219468069370743,-0.190552686075692,0.77071807477041,0.636378439629147,-0.352294999428173,-1.16380632946231,-0.547265283058364,0.221615727264979,-0.0990621859763223,0.400083589948862,0.236055716329957,-0.253134921658315,0.697914346759757,0.864301125229749,-0.322015341584215,-0.216871946738271,-1.0838858476713,-0.933196052082414,-0.608890583195774,-0.525886378768516,-2.3491714458197,-0.963435127506029,-1.45972477261024,-0.523044218859942,-0.3902021768179,-0.340947287096286,0.617826470947818,0.163352443094936,-1.19298194607052,-0.899342709663637,"LIN1-LIN2",2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"6",1,-0.784362624365017,0.142474971857676,1.49672569875003,-0.854838046242685,0.351394270591328,-0.703547550208115,1.60854299314844,1.20245454960897,-0.00700332665885095,-0.0842180334792204,-0.102219466997878,-0.66012449769212,0.108516296366108,1.2755599179472,0.462216296274676,-0.527637513043189,0.739078007099836,-0.357913863956261,-0.184452191818216,0.669476801415883,1.70201037705243,1.46881362353268,-0.596995328340555,0.288531135015104,-0.209609017364295,-0.295768915512151,-0.409516114341347,0.477517527896104,0.529591698747447,0.942527581205502,0.660160867957181,0.598406806282237,-0.237817286314903,0.0825648624935758,0.262101002104225,0.0359071096573225,-1.31784713319019,-0.240837187587165,0.359032060039445,0.740765885163184,-0.314331868751093,-0.363963292688725,-0.349931238112966,0.0436984562571541,"RIN3-RIN4",2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"7",1,-1.75887557491443,0.900064315290745,-0.114990108270791,0.973801367894473,0.697968698964869,0.603738237980898,-0.73898368664772,-0.405039542570837,0.450206154074174,-1.06484264669848,0.514831545941949,0.19927744510784,1.10342864062293,-0.167798187744558,-0.859509670732341,-0.0745497779368245,-1.05835905802479,-0.394262775321483,0.649265327166442,-1.28683499533034,-0.462516685016078,-0.820054118492268,-0.61206118442844,-0.482501362914913,-0.228980157703813,1.44799268291283,0.148177551457964,0.139545646329426,-0.616494249634734,0.626319706865454,0.517229918430139,-1.38497250392903,0.275606887768308,1.44439885455545,-0.0814194170216291,-0.19813017516782,-0.661819763131954,-1.02473280379178,-0.484218621784323,0.750619585952526,0.211024228073493,-0.536677929417636,0.553177001816154,0.190485334642648,"RIN2-RIN3",2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"8",2,0.0316192424352444,0.0682070705185178,0.193091055668327,-0.292917368622089,-0.987831916265809,-0.547797550211272,-0.527915419470848,-1.29597463449022,-0.937192440140079,-0.932784453137213,-1.07322694257356,-0.356872446079084,-0.702611383518474,-0.592183928481467,-0.137388770514872,0.603651540771897,-0.285240216914143,-1.63973204986448,-1.84090795248829,-0.439304275406513,-0.39259923023526,-0.94223563217638,0.0557721664616331,-0.464388909391978,-1.84048586313978,-1.75677092953731,-0.922606858845274,-1.19546090276142,-1.7777864917601,-0.837425261375251,-1.26719870840431,-0.763822264342884,-0.390782249226621,-0.383383333526253,-0.578880007315672,-1.20138245966485,-0.861760030500587,-1.24842582076212,-0.962257421543788,-1.08160520821955,-0.771544681982971,-2.04657908944149,-2.01221524187525,-0.432828966789206,"LIN1-LIN2",2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"9",2,0.597546710737211,-0.331519058293974,-0.488921179473247,0.22289352703001,0.308628706756526,0.65260108629597,-0.426790941424907,0.168951130143772,1.52610990663876,-1.49167621371754,0.538115132700152,0.223443335788961,0.374592197892893,1.28620047497185,-0.0964326638908537,0.487125909245522,-0.229334057421008,1.08989114776932,0.984493948998558,0.547051967065251,0.727493118563169,0.216414482366593,-0.503531750449943,0.8242597494525,-1.50088236352153,0.777001308598832,-0.631310481710477,0.633525363363747,0.77664010216543,1.26481221792459,-0.304025454064891,1.10671807440717,1.0278541721672,0.280191603480235,0.739844192463385,0.825894650647018,-0.106822932346597,0.895706835045592,-0.0321360952979721,-0.602203759285748,0.0507928105578874,0.589051810265254,0.306000432538601,-0.143655205247818,"RIN3-RIN4",2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"10",2,-0.25148816019673,-0.709769147308858,1.06924690855075,-0.107989601045165,-0.740953402081973,-1.56102188614639,-1.09713848893392,-1.55301408655362,-0.659011343880272,-0.65049710985383,-1.11604126914337,-1.42539251714864,-1.62845837270906,-0.582847504487864,-1.01896451054187,-0.339362766081367,-0.172313874726105,-1.3718217497706,-0.657711013970583,-0.414125307515524,-0.26625110428472,-0.481223182004739,-0.514446201161933,-1.1317977810887,-1.36869866958109,-0.928473558671516,-0.913377565212796,-0.916859588302288,-1.4582060076284,-0.74565524850539,-1.3080240242814,-1.99053873521471,0.0711082450669398,-0.949749648688387,-1.21089650657811,-1.13246904719632,-1.35817126715831,-1.53300340821602,-1.28005078553858,-1.31337401475059,-0.74176074898222,-0.268418428802474,-1.03948805835547,-0.938255979553235,"LIN2-LIN3",2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
