"","trial","electrodes","bin_3","bin_4","bin_5","bin_6","bin_7","bin_8","bin_9","bin_10","bin_11","bin_12","bin_13","bin_14","bin_15","bin_16","bin_17","bin_18","bin_19","bin_20","bin_21","bin_22","bin_23","bin_24","bin_25","bin_26","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_disadvent","ineq_advent","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",1,"LIN2-LIN3",0.08538049765,0.01590160865,-0.03383901935,0.11482173255,0.17872024255,0.12785141465,0.23094434465,0.26510735465,0.10945688265,-0.04159868435,-0.01689868235,-0.04957667735,-0.08773281735,-0.09366854935,0.09661821065,0.05825768465,-0.26556250535,-0.23089687535,0.05706313465,0.07461720865,-0.12272038535,-0.20205406935,-0.03179808535,0.07369898065,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"2",1,"LIN9-LIN10",0.0106101915,0.0077210025,0.00467666050000001,-0.0146091725,0.0426334365,0.1035203435,-0.00754883049999999,0.060037073,0.181340671,0.160080163,0.075467159,0.0461889445,0.2430077445,0.1937621905,0.0840698845,0.1047297445,-0.0768193995,-0.1384168475,0.0435159629,0.4840814609,0.5141876005,0.2686965905,0.3186798905,0.2973454345,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"3",1,"LIN3-LIN4",0.4314309548,0.5923518948,0.5924820348,0.4265669548,0.1672889988,0.3603625968,0.4997719428,0.2335820698,0.2819623318,0.3378470108,0.0635946988,-0.0882193802,0.1540125598,0.2517037438,0.2887663358,0.2129782368,0.2327738928,0.3833910658,0.5656566378,0.4189906148,0.1228350948,0.2327009548,0.2444217248,0.1528681548,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"4",1,"RIN9-RIN10",0.277949266,0.191674099,0.225234112,0.049929847,-0.160073912,-0.17588644,-0.192838306,-0.189376328,-0.140932485,0.132345897,0.22418541,0.0752243,0.0148760188965,-0.0171473581035,-0.009891515,-0.025379608,-0.123471933,-0.136665923,-0.087988386,-0.050614236,-0.151689261,-0.129123829,-0.003184092,0.015079779,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"5",1,"LIN4-LIN5",-0.00765728,0.212098715,0.182968155,-0.032035856,-0.103136321,-0.0521773977,-0.03639680319,-0.02419550749,-0.026595617,0.06303566,0.24112534,0.13550566,0.005016217,0.017970156,0.052987576,0.216486137,0.184062341,0.039957353,0.028101033,-0.043423296,0.102955183,0.23666199,0.091531187,-0.091463793,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"6",1,"RIN1-RIN2",0.0103182175,-0.2530038785,-0.1299185645,-0.1504490685,-0.2155344185,-0.1531271285,-0.1812645745,0.0474821455,0.2053901715,-0.0186165385,0.2021882315,0.1731935215,-0.2556053108,-0.2813315108,-0.1997613395,0.0818027955,-0.1565772435,-0.2620410435,0.1090623565,-0.1301400875,-0.3503412855,-0.1143440765,-0.0267627345,-0.1796786445,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"7",1,"RIN3-RIN4",0.120303093,0.0946918668,0.0911150168,0.1736323147,0.0537315887,-0.071304442,0.062474459,0.190699829,0.046643344,-0.105156312,0.112365858,0.128968065,-0.0485729547,0.0369890343,0.1091068571,0.1955542989,0.0659699994,-0.1024769324,0.102256274,0.2075844414,0.0786200954,-0.084907155,0.115929431,0.183732452,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"8",1,"RIN2-RIN3",-0.0682931712,0.00615987649999999,0.0640777605,-0.0289390795,0.0779142925,0.1941759725,0.4949550125,0.2787477255,-0.0352219605,0.0099511165,0.1200973725,0.1656277475,-0.1670912425,-0.3892437795,-0.2761459315,-0.0977774337,-0.1453913017,-0.1285887455,0.4053968545,0.4416767445,0.1189943255,0.0151274775,-0.1137191425,-0.0872288185,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"9",1,"LIN1-LIN2",0.0689744435,0.0374254335,-0.0387415225,-0.0396039715,-0.1576004295,-0.2036673295,0.0456952305,0.0301797595,-0.3045205405,-0.3963083005,-0.3082269285,-0.1479917985,-0.0583168905,-0.1193794035,-0.2127220875,-0.1818925123,-0.1988190683,-0.2921475015,-0.0613266215,0.0906371735,-0.0819604815,-0.1337074593,-0.1019440943,-0.0509401405,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"10",2,"LIN9-LIN10",-0.015659808,-0.059015605,-0.12718001,-0.244102363,-0.23592339,-0.11185914,-0.091067348,0.015193662,0.065826077,0.101413267,-0.030360976,-0.180005427,-0.179441924,-0.293695486,-0.253088694,-0.172786101,0.030576571,0.107972004,0.19972752,0.330584407,-0.00729924500000001,-0.385901975,-0.00133431299999998,0.210084289,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"11",2,"RIN2-RIN3",-0.00855902405000003,-0.26187830105,-0.45449573805,-0.48625442005,-0.59029569405,-0.67135074505,-0.39450450505,-0.09125880505,-0.30677396505,-0.50237771805,-0.50165108765,-0.45051797665,-0.46310063705,-0.60527385305,-0.64940713305,-0.57651048905,-0.44117040005,-0.26688283845,-0.47504162745,-0.65864210005,-0.38121302005,-0.27981195105,-0.19757835105,-0.23554387005,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"12",2,"LIN3-LIN4",0.2663099455,0.1809712363,0.0487369468,0.048835031,0.041364915,-0.074329034,-0.0370778,0.015905435,0.318349717,0.584597101,0.18839824,-0.22135961,-0.1523914794,-0.0237964254,0.00663230100000001,0.053125506,-0.05636887,0.031598363,0.1497449893,0.2073711073,0.464367236,0.402201538,0.299890163,0.161605983,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"13",2,"LIN4-LIN5",-0.154198857,-0.231505827,-0.319564297,-0.172009912,-0.140886223,-0.2088036467,-0.14604452316,-0.11445960446,-0.1594375508,-0.00346381079999999,0.220192833,0.058931095,-0.316040605,-0.183366034,0.133252806,0.03772217,0.006265876,0.164549339,0.005404716,-0.325666434,-0.3162659676,-0.1663918976,-0.221044364,-0.137642664,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"14",2,"RIN9-RIN10",-0.02462986936,-0.18289205136,-0.11503752436,-0.03524774236,-0.17824903646,-0.35384315146,-0.31262433836,-0.25651158736,-0.24356145136,-0.35605196336,-0.25646997836,-0.04333162536,-0.00478570936,-0.01551815136,-0.12839044736,-0.25101728126,-0.26978479926,-0.13829938336,-0.11299798036,-0.21606521886,-0.25365901786,-0.11607722159,0.30857861741,0.16740700964,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"15",2,"LIN2-LIN3",-0.0544749105,0.0249304565,0.1132395855,0.0909494012,-0.0185056564,0.0559667009,0.0595397525,-0.0740274725,0.0450411525,0.1076949935,0.1540176185,0.1191877375,-0.1114829645,-0.1084888745,-0.0539398625,-0.0600010347,-0.1205802947,-0.0514960545,0.0260195095,0.0736626895,0.3784732855,0.2956283455,-0.0277554895,-0.0456533175,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"16",2,"RIN3-RIN4",-0.1217317185,-0.1386861806,-0.2637870916,-0.3953519825,-0.3935273265,-0.3982456205,-0.1885871915,-0.1262035235,-0.0886227265,0.0924440825,0.00164023149999998,-0.0756751875,-0.1746897715,-0.3070023515,-0.3508728795,-0.3578142505,-0.2325567145,-0.2735763035,-0.3963228205,-0.3007886655,-0.339879883,-0.235601357,-0.0970541877,-0.0543373487,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"17",2,"LIN1-LIN2",-0.0658123188,0.0328578205,-0.0019025725,-0.1433474075,-0.2042294835,-0.1083853061,-0.0107339041,-0.0914785585,-0.2321613145,-0.1383346525,-0.0472951795,-0.1956416545,-0.2656872835,-0.0687842265,-0.0262044105,-0.0220597624,-0.0557176224,-0.1228630775,-0.1109693132,-0.0139183532,0.1016992125,-0.0355981175,-0.1344643065,-0.1873994185,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"18",2,"RIN1-RIN2",-0.186187067,-0.251879182,-0.2450540981,0.0202557189,0.0972515311,-0.0773456609,-0.191184396,-0.324958734,-0.428974255,-0.088440715,0.089134725,-0.082107314,-0.113659879,-0.064457772,-0.170903858,-0.114026742,0.208275859,0.3730693955,0.0120146945,-0.342670052,-0.20986221,-0.095804694,-0.122513194,-0.240087774,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"19",3,"RIN1-RIN2",0.2327684598,0.0201178448,0.1570743688,0.1828153568,0.1142423468,0.2086747668,0.1266446768,-0.0090882872,0.1494733605,0.1916085165,0.1053454248,0.3003457648,0.2978552488,0.0501529998,0.0883268258,0.0674847748,-0.1514746212,-0.1919379662,0.1075865338,0.3205646688,0.2353611188,0.0825830948,-0.0862468802,-0.0461330442,2171,"DG_s11",5.812,6.422,7.89,7.89,10,10,8,8,1.468,"Left",8,8,0,0,0,0,0,0,"10-10",2,2,10,8,10,8
"20",3,"LIN2-LIN3",-0.145988449,-0.159580034,0.191020059,0.341360399,0.14671608139,0.19327324939,0.1479014401,0.1401768881,0.290227885,0.256118704,0.2998718613,0.5248673123,0.560391214,0.251105714,0.109405247,0.213237563,0.082327571,0.126675739,0.085638319,-0.079111102,-0.105301574,-0.1131669746,0.0069743114,0.113956249,2171,"DG_s11",5.812,6.422,7.89,7.89,10,10,8,8,1.468,"Left",8,8,0,0,0,0,0,0,"10-10",2,2,10,8,10,8
"21",3,"RIN3-RIN4",0.0468617581,0.0683042723,0.010858105,-0.00863685399999999,-0.046177027,-0.17735359596,-0.20163506486,0.0189723151,0.063861517,-0.158349276,-0.241769247,-0.018326657,0.155537454,0.108404549,0.020200756,-0.027768465,-0.0557022959,-0.0277092389,0.007135387,0.164332968,0.223359203,0.093516983,-0.075780995,-0.056831517,2171,"DG_s11",5.812,6.422,7.89,7.89,10,10,8,8,1.468,"Left",8,8,0,0,0,0,0,0,"10-10",2,2,10,8,10,8
"22",3,"RIN2-RIN3",0.3425829779,0.26397569789,0.24969134789,0.28641043195,0.11506526195,0.0122534449,0.0925272088,0.10264824934,0.18673335544,0.1662645153,0.1014447243,0.3504459749,0.4411237479,0.3095851981,0.2310315231,0.2537009629,0.1963211499,-0.0794311401,0.0887287569,0.2718439469,0.3329161059,0.5208245059,0.35779946787,0.26488918787,2171,"DG_s11",5.812,6.422,7.89,7.89,10,10,8,8,1.468,"Left",8,8,0,0,0,0,0,0,"10-10",2,2,10,8,10,8
"23",3,"LIN9-LIN10",-0.1099224445,0.1539382755,0.25034944871,0.03292018671,0.0397905545,0.1065782765,0.1397274995,0.0325859175,0.0779195425,-0.0073405745,0.0486120855,0.1284336245,0.1145056095,0.4547650495,0.3187499145,0.1568153265,0.0857277335,-0.2186212195,-0.1405806665,0.0657173485,-0.0725976615,-0.2629538945,-0.1035959045,0.2023854545,2171,"DG_s11",5.812,6.422,7.89,7.89,10,10,8,8,1.468,"Left",8,8,0,0,0,0,0,0,"10-10",2,2,10,8,10,8
