"","trial","electrodes","bin_3","bin_4","bin_5","bin_6","bin_7","bin_8","bin_9","bin_10","bin_11","bin_12","bin_13","bin_14","bin_15","bin_16","bin_17","bin_18","bin_19","bin_20","bin_21","bin_22","bin_23","bin_24","bin_25","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_disadvent","ineq_advent","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",1,"LIN2-LIN3",0.05090119065,-0.00593913268333333,0.0705286805833333,0.10260662325,0.17832230325,0.180021697983333,0.235913711316667,0.16775867665,0.05421835865,-0.0202453480166667,-0.0518040146833333,-0.0510014366833333,-0.102983926016667,0.0464618219833333,-0.00565692468333333,-0.0681341486833333,-0.22400031535,-0.06893051535,0.00278616065,0.00318714465,-0.169958642016667,-0.0677563846833333,-0.0390123980166667,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"2",1,"LIN9-LIN10",-0.0147234761666667,0.0300620458333333,-0.0315363855,0.0533370018333333,0.0343594031666667,0.0580438965,0.0459618275,0.109924114833333,0.157714489833333,0.120210838833333,0.0676133388333333,0.175495893166667,0.146476693166667,0.200749853166667,0.0542913598333333,0.0203621265,-0.0940331281666667,-0.0204470612333333,0.279900778766667,0.414622570766667,0.430021197166667,0.304354857166667,0.285459753166667,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"3",1,"LIN3-LIN4",0.508339018133333,0.5691709048,0.505096351466667,0.2857956408,0.350350059466667,0.334598966133333,0.394545440133333,0.2823321228,0.286595485466667,0.1690072088,0.0398076774666667,0.0464509081333333,0.165213707466667,0.2977747188,0.2045241588,0.285154818133333,0.267607312133333,0.520273752133333,0.391751793466667,0.346569771466667,0.169781338133333,0.230190511466667,0.189803378133333,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"4",1,"RIN9-RIN10",0.232360122333333,0.230878195666667,0.0803471763333333,-0.00362047833333333,-0.187066525,-0.165465913666667,-0.206601469,-0.142163277,0.0101879996666667,0.133544548333333,0.154292523,0.0552312962643333,-0.006595989069,-0.00151258040233333,-0.0334330736666667,-0.0723956303333333,-0.117949345666667,-0.114134815666667,-0.0693775476666667,-0.124150374333333,-0.0968011763333333,-0.0925302783333333,0.0143781836666667,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"5",1,"LIN4-LIN5",0.0890979533333333,0.169175106666667,0.0728455693333333,-0.040981584,-0.0839181324666667,-0.0438888821266667,-0.03129092346,-0.02683436166,0.0349973853333333,0.150046203333333,0.143064903333333,0.111366574666667,-0.00570521933333333,0.0563545186666667,0.135274727333333,0.167082642,0.126587912,0.0414925726666667,-0.0250691793333333,0.083491126,0.113971458666667,0.173460781333333,-0.015641192,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"6",1,"RIN1-RIN2",-0.0679642551666667,-0.180438561833333,-0.175142445833333,-0.155458921833333,-0.190614821833333,-0.1760025925,-0.0152704458333334,0.0630089408333333,0.0931615781666666,0.1661463315,0.0716971448333333,0.00815381663333331,-0.250649350033333,-0.240482757366667,-0.0257106125,-0.157313245833333,-0.0672304151666667,-0.139140205166667,-0.0496056445,-0.198007033166667,-0.1985432665,-0.129088797833333,-0.0847681725,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"7",1,"RIN3-RIN4",0.100150398533333,0.1039229192,0.135703213,0.0766160671333333,0.0274235738,0.00251083,0.118735734,0.0811426873333333,0.00698188666666667,0.02892004,0.061865034,0.0666422782,0.0116138182,0.0534014729333333,0.1743653206,0.0727221163333333,0.0333094609333333,0.0105234330666667,0.127719088933333,0.131254784933333,0.0029434696,0.0701514446666667,0.073018374,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"8",1,"RIN2-RIN3",0.0310920567,-0.0297957461666667,0.0573281178333333,0.0180405311666667,0.144060259166667,0.367303259166667,0.2779492145,0.214371303833333,-0.0453867161666667,0.108604401833333,0.0885130891666667,-0.0094238375,-0.251047678833333,-0.3039396235,-0.204838472966667,-0.141371304966667,-0.106467015633333,0.1940782205,0.284911681833333,0.359133601166667,0.0247320971666667,-0.0111303235,-0.112749998833333,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"9",1,"LIN1-LIN2",0.0241816855,0.0209238841666667,-0.0482039245,-0.109093357833333,-0.1581544625,-0.0522272231666667,-0.0329676698333333,-0.119462697166667,-0.3276366905,-0.345067155833333,-0.223284195833333,-0.119739549166667,-0.0973858458333333,-0.162893075166667,-0.1797695937,-0.2158528517,-0.2327198697,-0.135475591166667,-0.0397490418333333,0.00464908883333334,-0.0880029337,-0.123738423033333,-0.0673227063666667,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,-8,"10-10",0,-8,10,10,10,18
"10",2,"LIN9-LIN10",-0.0453730676666667,-0.0891972143333333,-0.197668104333333,-0.207135737666667,-0.187454191,-0.105112394333333,-0.020042823,0.013344417,0.108277587,-0.0170253416666667,-0.0556100823333333,-0.204262135666667,-0.231166422333333,-0.252984313666667,-0.226729207,-0.0368029423333333,0.013977925,0.211539471666667,0.213983149,0.134691972333333,-0.176436514333333,-0.0865871743333333,-0.0315141583333333,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"11",2,"RIN2-RIN3",-0.163897625716667,-0.31939108305,-0.48236122305,-0.538336011716667,-0.626931227716667,-0.477169401716667,-0.294239968383333,-0.23411821505,-0.366155443716667,-0.507713070116667,-0.461984784783333,-0.48152834945,-0.531066628383333,-0.614121120383333,-0.606673196383333,-0.504718818383333,-0.351656999983333,-0.43707291065,-0.496638133316667,-0.513293031716667,-0.366485015716667,-0.20591719905,-0.26937224905,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"12",2,"LIN3-LIN4",0.226805577866667,0.103873174533333,0.0818223015333333,0.0108022936666667,-0.000221685666666659,-0.046472927,-0.0171946723333333,0.215312907,0.397255261666667,0.330308110333333,0.0374490436666667,-0.161017609933333,-0.1040140666,-0.0090230026,0.032997257,-0.0307379656666667,0.0496412983333333,0.0336750232,0.225467949866667,0.3221876052,0.393772315666667,0.383866975666667,0.191931480333333,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"13",2,"LIN4-LIN5",-0.229244627,-0.240934693666667,-0.241118663666667,-0.180521624333333,-0.167278230133333,-0.163211365106667,-0.14966048444,-0.130300634506667,-0.0546066762,0.0928009904666666,0.090972421,-0.115583539,-0.178066823666667,-0.0660357316666667,0.0577750263333333,0.0603855416666667,0.0786393816666666,0.0388405723333334,-0.142648825,-0.2817029654,-0.257179900733333,-0.211954918733333,-0.138097698333333,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"14",2,"RIN9-RIN10",-0.0649297296933333,-0.15010990036,-0.0720083116933333,-0.147014557093333,-0.231212063093333,-0.33193228776,-0.283387097026667,-0.25841115436,-0.312338847026667,-0.258383415026667,-0.17885229636,-0.02420591236,-0.0182177450266666,-0.0809117936933333,-0.182372126293333,-0.250422892293333,-0.188978083626667,-0.158410025026667,-0.153165030026667,-0.235316448026667,-0.155217857513333,0.114446109486667,0.125492827486667,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"15",2,"LIN2-LIN3",-0.00922551583333333,0.0650222701666667,0.0877240253,0.0360648615666667,0.0495421022333333,0.0151250957666667,0.0125275581666667,0.00784139683333334,0.0446310521666667,0.1598714575,0.0940621088333333,0.0137528188333333,-0.0809422198333333,-0.101665581166667,-0.0466209333,-0.109726527966667,-0.0449917279666667,-0.0523794985,0.0845035948333333,0.234266728166667,0.264242818833333,0.166654608833333,-0.0185082498333333,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
