"","trial","electrodes","pre_13","pre_12","pre_11","pre_10","pre_9","pre_8","pre_7","pre_6","pre_5","pre_4","pre_3","pre_2","pre_1","post_1","post_2","post_3","post_4","post_5","post_6","post_7","post_8","post_9","post_10","post_11","post_12","post_13","post_14","post_15","post_16","post_17","post_18","post_19","post_20","post_21","post_22","post_23","post_24","post_25","post_26","post_27","post_28","post_29","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_disadvent","ineq_advent","ineq_disadvent_choice","ineq_advent_choice","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",1,"LIN1-LIN2",0.0280045428333333,0.0398709695,0.1018550535,0.0448255941666667,0.0439807975,-0.1275052145,-0.1455705565,-0.0953430171666667,-0.0723088138333333,-0.0858645985,-0.2046028245,-0.163986801833333,-0.1361933505,-0.0819238338333333,-0.0790651278333333,-0.0168905211666667,-0.0358300798333333,0.1201369575,0.119092958833333,0.290750150833333,0.188369076833333,0.0143441688333333,-0.1591149465,-0.180657977166667,-0.0866770818333333,-0.1298804385,-0.190057089833333,-0.225300763833333,-0.236233673833333,-0.2455764845,-0.1867108325,-0.138254907833333,-0.129137639166667,-0.148962638433333,-0.164148602433333,-0.101971784433333,-0.142888945833333,-0.1105374185,-0.0628392845,-0.0154415685,0.0822923521666667,-0.00342587716666665,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"2",1,"LIN2-LIN3",0.0362753979833333,-0.09727675535,0.0316071819833333,0.0425789159833333,0.03537294265,-0.0603445090166667,0.0216753469833333,0.198624852983333,0.26647572265,0.09912128465,0.00124724198333334,0.03476459065,0.0965449153166667,0.0855668559833334,-0.0307012900166667,-0.01023309615,0.000786367183333338,-0.0638619194833333,0.00967865665,0.0124356553166667,0.14434017465,0.0378664619833333,0.0928574119833333,-0.0503070526833333,0.0213500233166667,-0.0805994526833333,-0.0337099026833333,-0.0964258020166667,-0.02923143735,0.0269112807833333,0.0457202401166667,0.0522500887833333,0.01640497865,0.03958097265,-0.0306551800166667,-0.00120998668333333,0.0532153059833333,0.131980857983333,0.126656449983333,-0.0570239166833333,-0.110852525616667,-0.137783302283333,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"3",1,"RIN3-RIN4",0.058922768,-0.06233251,-0.129674460666667,-0.144801460666667,-0.157942592666667,-0.112129615333333,-0.037374572,0.02876576,0.228425806,0.286956028666667,0.268762058666667,0.114705767333333,0.0186211966666667,0.121768356666667,0.133521171333333,0.167063331333333,0.0152144113333333,-0.0370062953333333,0.103325122666667,0.132389447333333,0.26189445,0.0675275648666667,0.0949542882,-0.0662143964666667,-0.116837978,-0.0852609246666667,-0.166751462666667,0.00368465533333334,-0.104645914666667,0.0538987846666667,-0.0397862977333333,-0.0344691397333333,-0.0951294657333333,-0.071362634,-0.0861875353333333,-0.0913268966666667,-0.103246983333333,-0.0396681833333333,0.0750805913333333,0.111247724,0.0461331973333333,-0.00250319266666667,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"4",1,"RIN9-RIN10",-0.028449421,0.588531121666667,0.638253860333333,0.730997237,0.148804585666667,0.125043616333333,0.131256757666667,0.1204274864,0.223519127733333,0.158387133066667,0.139225882333333,-0.012471167,-0.0167119177333333,0.0557414689333333,0.126008078266667,0.1578500356,0.0788166522666667,0.1061174856,0.0442748256666667,0.0725649201333333,-0.0188680845333333,0.1251407548,0.213994403666667,0.158325800333333,0.100057824333333,0.074656851,0.228804390333333,0.273419905666667,0.138373481666667,0.0354996943333333,0.0116829023333333,0.139924347,0.264887129666667,0.288189203,0.346176782333333,0.201273988066667,0.106101868733333,0.0214756454,0.0435380363333333,0.032673989,0.076153659,0.0430872026666667,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"5",1,"RIN2-RIN3",-0.109462472233333,-0.186606604233333,-0.188109365566667,-0.256979946166667,-0.217582046833333,-0.2402718495,-0.148393030833333,-0.2095327335,-0.0773005788333333,-0.162765037433333,-0.1296271021,-0.301380831433333,-0.269675712833333,-0.176175618166667,-0.1211953235,0.000397184500000008,-0.05915580412,-0.01923383612,0.01629880388,0.0756023460333333,0.0651476220333333,-0.130702643966667,-0.188742245033333,-0.202312733033333,-0.191952573033333,-0.116852714166667,-0.151569532033333,-0.127320401366667,-0.144547621366667,-0.0574990081666667,0.0604603138333333,-0.0255680121866667,-0.116285932186667,-0.144330468186667,-0.115422330033333,-0.113610817366667,-0.1747219811,-0.0925255765666667,0.0848465641,0.196046517833333,0.180707193166667,0.0899204492333333,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"6",1,"LIN9-LIN10",0.344215881166667,0.9203077085,0.9758129105,0.908999823833333,0.348178047166667,0.356131033833333,0.3053036585,0.283516105166667,0.267837411833333,0.289664701833333,0.2410380204,0.276662207066667,0.294001309066667,0.521710667833333,0.399359109833333,0.328637015833333,0.00994058183333334,-0.0197531293666667,-0.00324958536666666,0.162498246633333,0.139236189166667,0.170274679566667,0.1009759009,0.2240846609,0.228255352633333,0.2127745653,0.109001175966667,0.0380980671666667,-0.0541113855,0.0287512578333333,0.1205116719,0.0906066052333333,0.0928007372333333,-0.0389728968333333,0.192142869166667,0.250740289833333,0.346706315166667,0.4242560825,0.346806609166667,0.496698759833333,0.403616801166667,0.441973701166667,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"7",1,"RIN1-RIN2",-0.2665924565,-0.253800181833333,-0.2959106105,-0.255515137166667,-0.2196744025,-0.2720425085,-0.1629329285,-0.214240287833333,-0.125617507833333,-0.185295439833333,-0.1547890345,-0.211474423833333,-0.261728699166667,-0.291426157833333,-0.250396873833333,-0.227814557166667,-0.145020399166667,-0.140154477833333,-0.1382896125,-0.0975567485,-0.0337936818333334,-0.0859572723066667,-0.26725123864,-0.35277328464,-0.380965508833333,-0.262822193166667,-0.305126779166667,-0.193699745833333,-0.340294911833333,-0.319768345833333,-0.299103719166667,-0.2070075425,-0.143368561166667,-0.188699743166667,-0.251182810433333,-0.262498945766667,-0.2697060871,-0.2342064445,-0.1543605445,-0.0524487145,-0.0920854218333333,-0.2355637615,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"8",1,"LIN4-LIN5",0.031314394,0.0494455293333333,0.0451985646666667,-0.0189928158,-0.0746041912666667,-0.0604880519333333,-0.0489872837333333,0.1598438184,0.385678325066667,0.378371036333333,0.337371236333333,0.203330407,0.169339201733333,0.14036025754,0.148527331406667,0.23173418034,0.122159988533333,0.146360072333333,0.111426377,0.137946399666667,0.179530514,0.266306539333333,0.236849512666667,0.0519847666666667,-0.05261166,0.156430586666667,0.307009283333333,0.3378893228,0.0953602914666667,0.120845677466667,0.189089799333333,0.297783592,0.242429991666667,0.198913203666667,0.217607124333333,0.250479356666667,0.238742706,0.133372698666667,0.16826908,0.173110570666667,0.213766261333333,0.205857145133333,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"9",1,"LIN3-LIN4",0.0876246414666667,0.0747119114666667,0.112064083466667,0.133857016466667,0.113843703133333,0.109643133133333,0.1280221508,0.3019346008,0.315427252133333,0.291488872666667,0.208928974666667,0.202015996666667,0.2072432148,0.232109731466667,0.1711220008,0.169503761466667,0.190245584133333,0.184605000133333,0.2284258728,0.179799716133333,0.281391522133333,0.382328216133333,0.477342308733333,0.405797875066667,0.328613431733333,0.272059121133333,0.1409937348,0.0141463114666667,-0.0505567106666667,0.138693956,0.18382018,0.177705246133333,0.1496177648,0.184867144133333,0.154968845466667,0.139959340133333,0.240537291466667,0.342737495466667,0.317023710133333,0.2489506888,0.192653927466667,0.1620651428,2169,"DG_s11",-0.61,0,2.015,2.031,10,10,10,18,2.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"10",2,"RIN3-RIN4",-0.0929997111666667,-0.0652303998333334,0.00219668616666663,-0.1024159805,-0.0405657051666667,-0.175472171166667,-0.212482477833333,-0.340777003166667,-0.264975777166667,-0.306953639833333,-0.2956557365,-0.380114491833333,-0.343976141166667,-0.281171179566667,-0.2415357569,-0.150906500233333,-0.0424787418333334,0.0351157171666666,-0.00150330750000005,-0.0703878974333334,-0.203388937566667,-0.2352332579,-0.266387971966667,-0.217321830833333,-0.244857259966667,-0.2430242193,-0.292197933966667,-0.283218717833333,-0.331889629166667,-0.355844559166667,-0.330280609166667,-0.266053861166667,-0.226103120833333,-0.2888377983,-0.387626773633333,-0.272455188633333,-0.177201921166667,-0.170199159166667,-0.3484642185,-0.4600036085,-0.385919722366667,-0.244057630366667,2170,"DG_s11",3.031,3.64,4.797,4.812,12,12,10,10,1.157,"Left",12,12,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
