"","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p"
"2","RTH6-RTH7","pre_14",0.00737197752554038,0.00428482540738874,1.67844034527546,0.196453517761476,20.422050912835,0.0027
"3","RTH6-RTH7","pre_13",0.000615598053055601,0.00127560083776035,0.139210857923668,0.709416503925286,20.422050912835,0.0027
"4","RTH6-RTH7","pre_12",0.00380090938847498,0.00334151845607984,0.862282981274394,0.354091306719174,20.422050912835,0.0027
"5","RTH6-RTH7","pre_11",0.000856840190270903,0.00145718057612218,0.193811948868369,0.660183477426637,20.422050912835,0.0027
"6","RTH6-RTH7","pre_10",0.00590143908122737,0.00374113163168226,1.34164285594048,0.247966989430421,20.422050912835,0.0027
"7","RTH6-RTH7","pre_9",0.00368910899598962,0.00286766848327525,0.836825774586759,0.361281152922681,20.422050912835,0.0027
"8","RTH6-RTH7","pre_8",0.00158407659368822,0.00197269487146009,0.358569311426984,0.549901599782358,20.422050912835,0.0027
"9","RTH6-RTH7","pre_7",0.000230710483357561,0.000762620869103605,0.0521526013906839,0.81956554114123,20.422050912835,0.0027
"10","RTH6-RTH7","pre_6",0.0168313160776185,0.0066617643273604,3.86899775770532,0.0504094331386385,20.422050912835,0.0027
"11","RTH6-RTH7","pre_5",0.00674935352343625,0.0046238166204506,1.53571900678605,0.216541540765853,20.422050912835,0.0027
"12","RTH6-RTH7","pre_4",0.00311797443181454,0.00302240912801449,0.70686621236696,0.401374756688254,20.422050912835,0.0027
"13","RTH6-RTH7","pre_3",0.00937067049880179,0.00511592160467967,2.13780419139775,0.145096591632234,20.422050912835,0.0027
"14","RTH6-RTH7","pre_2",0.00294326543708414,0.00276577567692468,0.667141563486468,0.414910114657529,20.422050912835,0.0027
"15","RTH6-RTH7","pre_1",0.000148213943633466,0.000670324489406766,0.0335013166234171,0.854935710141756,20.422050912835,0.0027
"16","RTH6-RTH7","post_1",0.000691282939272458,0.00137651818772428,0.156338018080234,0.6929236041605,20.422050912835,0.0027
"17","RTH6-RTH7","post_2",7.75428038031504e-06,0.000128916644680101,0.00175248095517989,0.966645156485247,20.422050912835,0.0027
"18","RTH6-RTH7","post_3",0.000480417770863487,0.00101240555509929,0.108626602365313,0.742018442661383,20.422050912835,0.0027
"19","RTH6-RTH7","post_4",0.00614815544101229,0.00397962716069237,1.39807873505064,0.238288013268332,20.422050912835,0.0027
"20","RTH6-RTH7","post_5",0.000715050146271948,0.00147130117676481,0.161716968799655,0.687960705083873,20.422050912835,0.0027
"21","RTH6-RTH7","post_6",6.98600054857973e-05,0.00043531284067465,0.0157894642918522,0.900115834156454,20.422050912835,0.0027
"22","RTH6-RTH7","post_7",2.19825785814674e-06,7.45925382096552e-05,0.000496807368051864,0.982236949729946,20.422050912835,0.0027
"23","RTH6-RTH7","post_8",0.00109729318079554,0.00161001367603743,0.248260673603998,0.618786995529085,20.422050912835,0.0027
"24","RTH6-RTH7","post_9",0.00641974329832792,0.0039347089996723,1.46023632780149,0.228155385108465,20.422050912835,0.0027
"25","RTH6-RTH7","post_10",0.00330096389467819,0.00319874886318656,0.748488573955477,0.387872589062111,20.422050912835,0.0027
"26","RTH6-RTH7","post_11",0.000312621291080358,0.000982931542874634,0.0706745061395166,0.790599579061088,20.422050912835,0.0027
"27","RTH6-RTH7","post_12",0.000157160740414052,0.00062108766258574,0.0355239102976206,0.850671189781688,20.422050912835,0.0027
"28","RTH6-RTH7","post_13",0.000173602967283906,0.000655740570325596,0.0392410829746066,0.843149884308048,20.422050912835,0.0027
"29","RTH6-RTH7","post_14",0.000127413883551398,0.000582374607842263,0.0287992071014359,0.865395292674312,20.422050912835,0.0027
"30","RTH6-RTH7","post_15",0.002239732972101,0.00235438296981749,0.507315903851953,0.477037749069249,20.422050912835,0.0027
"31","RTH6-RTH7","post_16",0.000324407718314041,0.000899060396400707,0.0733399363803957,0.786781669639153,20.422050912835,0.0027
"32","RTH6-RTH7","post_17",0.0117893634262318,0.00544152324151872,2.69618240860687,0.101979569840069,20.422050912835,0.0027
"33","RTH6-RTH7","post_18",0.0235889270676524,0.00753977212991847,5.4598904755137,0.0203329188050239,20.422050912835,0.0027
"34","RTH6-RTH7","post_19",0.0190670007842835,0.00673153594049701,4.3929016361906,0.037201706503821,20.422050912835,0.0027
"35","RTH6-RTH7","post_20",0.0231688946732034,0.00762244295130319,5.36036390281842,0.0214963458949485,20.422050912835,0.0027
"36","RTH6-RTH7","post_21",0.0225289554738073,0.00747436164395137,5.20889489831228,0.0234020083690472,20.422050912835,0.0027
"37","RTH6-RTH7","post_22",0.0160202629067491,0.00600867665398556,3.67952639718045,0.0563446628975439,20.422050912835,0.0027
"38","RTH6-RTH7","post_23",0.00918304779449719,0.00467370968049173,2.0946036469569,0.149205709201962,20.422050912835,0.0027
"39","RTH6-RTH7","post_24",0.00379022138812751,0.00301717068667753,0.859849051984208,0.3547701523114,20.422050912835,0.0027
"40","RTH6-RTH7","post_25",9.37550073195733e-05,0.000465160027106156,0.021190618380805,0.88439061875535,20.422050912835,0.0027
"41","RTH6-RTH7","post_26",0.00014902887081648,0.000615893256896058,0.0336855449232472,0.85454185838995,20.422050912835,0.0027
"42","RTH6-RTH7","post_27",0.00505928925232848,0.00384023938946235,1.14921357491443,0.284857246071914,20.422050912835,0.0027
"43","RTH6-RTH7","post_28",0.0020798503485445,0.00239722819453372,0.471025842032782,0.493219124868614,20.422050912835,0.0027
"44","RTH6-RTH7","post_29",0.00477392414695858,0.00330649401555288,1.0840821833249,0.298898683497605,20.422050912835,0.0027
"45","RTH6-RTH7","post_30",0.0056330931177089,0.00383999902783058,1.2802910432667,0.259044129143252,20.422050912835,0.0027
"46","RTH6-RTH7","post_31",0.000163697396075116,0.000702013240724679,0.0370016685897747,0.847634384259847,20.422050912835,0.0027
