Var1,index
POL RAM1-Ref-POL RAM2-Ref,1
POL RAM2-Ref-POL RAM3-Ref,2
POL RAM3-Ref-POL RAM4-Ref,3
POL RAM4-Ref-POL RAM5-Ref,4
POL RAM5-Ref-POL RAM6-Ref,5
POL RAM6-Ref-POL RAM7-Ref,6
POL RHH3-Ref-POL RHH4-Ref,7
POL RHH4-Ref-POL RHH5-Ref,8
POL RHH5-Ref-POL RHH6-Ref,9
POL RHH6-Ref-POL RHH7-Ref,10
POL RTH3-Ref-POL RTH4-Ref,11
POL RTH4-Ref-POL RTH5-Ref,12
POL RTH5-Ref-POL RTH6-Ref,13
POL RTH6-Ref-POL RTH7-Ref,14
POL RTH7-Ref-POL RTH8-Ref,15
POL ROF1-Ref-POL ROF2-Ref,16
POL ROF2-Ref-POL ROF3-Ref,17
POL ROF3-Ref-POL ROF4-Ref,18
POL ROF4-Ref-POL ROF5-Ref,19
POL ROF5-Ref-POL ROF6-Ref,20
POL ROF6-Ref-POL ROF7-Ref,21
POL ROF7-Ref-POL ROF8-Ref,22
POL RCI1-Ref-POL RCI2-Ref,23
POL RCI2-Ref-POL RCI3-Ref,24
POL RCI3-Ref-POL RCI4-Ref,25
POL RCI4-Ref-POL RCI5-Ref,26
POL RCI5-Ref-POL RCI6-Ref,27
POL RCI6-Ref-POL RCI7-Ref,28
POL RCI7-Ref-POL RCI8-Ref,29
POL LAM1-Ref-POL LAM2-Ref,30
POL LAM2-Ref-POL LAM3-Ref,31
POL LAM3-Ref-POL LAM4-Ref,32
POL LAM4-Ref-POL LAM5-Ref,33
POL LAM5-Ref-POL LAM6-Ref,34
POL LAM6-Ref-POL LAM7-Ref,35
POL LAM7-Ref-POL LAM8-Ref,36
POL LHH3-Ref-POL LHH4-Ref,37
POL LHH4-Ref-POL LHH5-Ref,38
POL LHH5-Ref-POL LHH6-Ref,39
POL LHH6-Ref-POL LHH7-Ref,40
POL LHH7-Ref-POL LHH8-Ref,41
POL LHH8-Ref-POL LHH9-Ref,42
POL LTH1-Ref-POL LTH2-Ref,43
POL LTH2-Ref-POL LTH3-Ref,44
POL LTH3-Ref-POL LTH4-Ref,45
POL LTH4-Ref-POL LTH5-Ref,46
POL LTH5-Ref-POL LTH6-Ref,47
POL LTH6-Ref-POL LTH7-Ref,48
POL LTH7-Ref-POL LTH8-Ref,49
POL LTH8-Ref-POL LTH9-Ref,50
POL LOF1-Ref-POL LOF2-Ref,51
POL LOF2-Ref-POL LOF3-Ref,52
POL LOF3-Ref-POL LOF4-Ref,53
POL LOF4-Ref-POL LOF5-Ref,54
POL LOF5-Ref-POL LOF6-Ref,55
POL LOF6-Ref-POL LOF7-Ref,56
POL LOF7-Ref-POL LOF8-Ref,57
POL LOF8-Ref-POL LOF9-Ref,58
POL LCI1-Ref-POL LCI2-Ref,59
POL LCI2-Ref-POL LCI3-Ref,60
POL LCI3-Ref-POL LCI4-Ref,61
POL LCI4-Ref-POL LCI5-Ref,62
POL LCI5-Ref-POL LCI6-Ref,63
POL LCI6-Ref-POL LCI7-Ref,64
POL LCI7-Ref-POL LCI8-Ref,65
