Var1,index
POL LAM4-Ref-POL LAM5-Ref,1
POL LAM5-Ref-POL LAM6-Ref,2
POL LAM6-Ref-POL LAM7-Ref,3
POL LHH3-Ref-POL LHH4-Ref,4
POL LHH4-Ref-POL LHH5-Ref,5
POL LHH5-Ref-POL LHH6-Ref,6
POL LHH6-Ref-POL LHH7-Ref,7
POL LTH1-Ref-POL LTH2-Ref,8
POL LTH2-Ref-POL LTH3-Ref,9
POL LTH3-Ref-POL LTH4-Ref,10
POL LTH4-Ref-POL LTH5-Ref,11
POL LTH5-Ref-POL LTH6-Ref,12
POL LTH6-Ref-POL LTH7-Ref,13
POL LIN1-Ref-POL LIN2-Ref,14
POL LIN2-Ref-POL LIN3-Ref,15
POL LIN3-Ref-POL LIN4-Ref,16
POL LIN4-Ref-POL LIN5-Ref,17
POL LIN5-Ref-POL LIN6-Ref,18
POL LIN6-Ref-POL LIN7-Ref,19
POL LIN7-Ref-POL LIN8-Ref,20
POL LIN8-Ref-POL LIN9-Ref,21
POL LOF1-Ref-POL LOF2-Ref,22
POL LOF2-Ref-POL LOF3-Ref,23
POL LOF3-Ref-POL LOF4-Ref,24
POL LOF4-Ref-POL LOF5-Ref,25
POL LOF5-Ref-POL LOF6-Ref,26
POL LOF6-Ref-POL LOF7-Ref,27
POL LOF7-Ref-POL LOF8-Ref,28
POL LCI1-Ref-POL LCI2-Ref,29
POL LCI2-Ref-POL LCI3-Ref,30
POL LCI3-Ref-POL LCI4-Ref,31
POL LCI4-Ref-POL LCI5-Ref,32
POL LSM1-Ref-POL LSM2-Ref,33
POL LSM2-Ref-POL LSM3-Ref,34
POL LSM3-Ref-POL LSM4-Ref,35
POL LSM4-Ref-POL LSM5-Ref,36
POL LSM5-Ref-POL LSM6-Ref,37
POL RAM4-Ref-POL RAM5-Ref,38
POL RAM5-Ref-POL RAM6-Ref,39
POL RAM6-Ref-POL RAM7-Ref,40
POL RHH4-Ref-POL RHH5-Ref,41
POL RHH5-Ref-POL RHH6-Ref,42
POL RHH6-Ref-POL RHH7-Ref,43
POL RTH1-Ref-POL RTH2-Ref,44
POL RTH2-Ref-POL RTH3-Ref,45
POL RTH5-Ref-POL RTH6-Ref,46
POL RTH6-Ref-POL RTH7-Ref,47
POL RTH7-Ref-POL RTH8-Ref,48
POL RTH8-Ref-POL RTH9-Ref,49
