Var1,index
RAM1-RAM2,1
RAM2-RAM3,2
RAM3-RAM4,3
RAM4-RAM5,4
RAM5-RAM6,5
RAM6-RAM7,6
RAM7-RAM8,7
RHH4-RHH5,8
RHH5-RHH6,9
RHH6-RHH7,10
RHH7-RHH8,11
RHH8-RHH9,12
RTH1-RTH2,13
RTH4-RTH5,14
RTH5-RTH6,15
RTH6-RTH7,16
RTH7-RTH8,17
ROF1-ROF2,18
ROF2-ROF3,19
ROF3-ROF4,20
ROF4-ROF5,21
ROF5-ROF6,22
ROF6-ROF7,23
RIN1-RIN2,24
RIN2-RIN3,25
RIN3-RIN4,26
RIN4-RIN5,27
RIN5-RIN6,28
RIN6-RIN7,29
RIN7-RIN8,30
RIN8-RIN9,31
RIN9-RIN10,32
LAM1-LAM2,33
LAM2-LAM3,34
LAM3-LAM4,35
LAM4-LAM5,36
LAM5-LAM6,37
LAM6-LAM7,38
LAM7-LAM8,39
LHH5-LHH6,40
LHH6-LHH7,41
LHH7-LHH8,42
LTH1-LTH2,43
LTH5-LTH6,44
LTH6-LTH7,45
LTH7-LTH8,46
LTH8-LTH9,47
LOF1-LOF2,48
LOF2-LOF3,49
LOF3-LOF4,50
LOF4-LOF5,51
LOF5-LOF6,52
LOF6-LOF7,53
LOF7-LOF8,54
LOF8-LOF9,55
LOF9-LOF10,56
LIN1-LIN2,57
LIN2-LIN3,58
LIN3-LIN4,59
LIN4-LIN5,60
LIN5-LIN6,61
LIN6-LIN7,62
LIN7-LIN8,63
LIN8-LIN9,64
LIN9-LIN10,65
LAC1-LAC2,66
LAC2-LAC3,67
LAC3-LAC4,68
LAC4-LAC5,69
LAC5-LAC6,70
LAC6-LAC7,71
LAC7-LAC8,72
LAC8-LAC9,73
LAC9-LAC10,74
LAC10-LAC11,75
LPC1-LPC2,76
LPC2-LPC3,77
LPC3-LPC4,78
LPC4-LPC5,79
LPC5-LPC6,80
LPC6-LPC7,81
LPC7-LPC8,82
LPC8-LPC9,83
