Var1,index
POL RAM1-Ref-POL RAM2-Ref,1
POL RAM2-Ref-POL RAM3-Ref,2
POL RAM3-Ref-POL RAM4-Ref,3
POL RAM4-Ref-POL RAM5-Ref,4
POL RAM5-Ref-POL RAM6-Ref,5
POL RAM6-Ref-POL RAM7-Ref,6
POL RAM7-Ref-POL RAM8-Ref,7
POL RAM8-Ref-POL RAM9-Ref,8
POL RAM9-Ref-POL RAM10-Ref,9
POL RHH6-Ref-POL RHH7-Ref,10
POL RHH7-Ref-POL RHH8-Ref,11
POL RHH8-Ref-POL RHH9-Ref,12
POL RHH9-Ref-POL RHH10-Ref,13
POL RHH10-Ref-POL RHH11-Ref,14
POL RHH11-Ref-POL RHH12-Ref,15
POL RHH12-Ref-POL RHH13-Ref,16
POL RTH1-Ref-POL RTH2-Ref,17
POL RTH2-Ref-POL RTH3-Ref,18
POL RTH3-Ref-POL RTH4-Ref,19
POL RTH4-Ref-POL RTH5-Ref,20
POL RTH5-Ref-POL RTH6-Ref,21
POL RTH6-Ref-POL RTH7-Ref,22
POL RTH7-Ref-POL RTH8-Ref,23
POL RTH8-Ref-POL RTH9-Ref,24
POL RTH9-Ref-POL RTH10-Ref,25
POL RTH10-Ref-POL RTH11-Ref,26
POL RTH11-Ref-POL RTH12-Ref,27
POL RTH12-Ref-POL RTH13-Ref,28
POL RTH13-Ref-POL RTH14-Ref,29
POL RIN1-Ref-POL RIN2-Ref,30
POL RIN2-Ref-POL RIN3-Ref,31
POL RIN3-Ref-POL RIN4-Ref,32
POL RIN4-Ref-POL RIN5-Ref,33
POL RIN5-Ref-POL RIN6-Ref,34
POL RIN6-Ref-POL RIN7-Ref,35
POL RIN7-Ref-POL RIN8-Ref,36
POL RIN8-Ref-POL RIN9-Ref,37
POL RIN9-Ref-POL RIN10-Ref,38
POL RIN10-Ref-POL RIN11-Ref,39
POL RIN11-Ref-POL RIN12-Ref,40
POL RIN12-Ref-POL RIN13-Ref,41
POL RAC1-Ref-POL RAC2-Ref,42
POL RAC2-Ref-POL RAC3-Ref,43
POL RAC3-Ref-POL RAC4-Ref,44
POL RAC4-Ref-POL RAC5-Ref,45
POL RAC5-Ref-POL RAC6-Ref,46
POL RAC6-Ref-POL RAC7-Ref,47
POL RAC7-Ref-POL RAC8-Ref,48
POL RAC8-Ref-POL RAC9-Ref,49
POL RAC9-Ref-POL RAC10-Ref,50
POL RAC10-Ref-POL RAC11-Ref,51
POL RAC11-Ref-POL RAC12-Ref,52
POL RAC12-Ref-POL RAC13-Ref,53
POL LAM1-Ref-POL LAM2-Ref,54
POL LAM2-Ref-POL LAM3-Ref,55
POL LAM3-Ref-POL LAM4-Ref,56
POL LAM4-Ref-POL LAM5-Ref,57
POL LAM5-Ref-POL LAM6-Ref,58
POL LAM6-Ref-POL LAM7-Ref,59
POL LAM7-Ref-POL LAM8-Ref,60
POL LAM8-Ref-POL LAM9-Ref,61
POL LAM9-Ref-POL LAM10-Ref,62
POL LAM10-Ref-POL LAM11-Ref,63
POL LAM11-Ref-POL LAM12-Ref,64
POL LAM12-Ref-POL LAM13-Ref,65
POL LAM13-Ref-POL LAM14-Ref,66
POL LTH4-Ref-POL LTH5-Ref,67
POL LTH5-Ref-POL LTH6-Ref,68
POL LTH6-Ref-POL LTH7-Ref,69
POL LTH7-Ref-POL LTH8-Ref,70
POL LTH8-Ref-POL LTH9-Ref,71
POL LTH9-Ref-POL LTH10-Ref,72
POL LTH10-Ref-POL LTH11-Ref,73
POL LTH11-Ref-POL LTH12-Ref,74
POL LTH12-Ref-POL LTH13-Ref,75
POL LTH13-Ref-POL LTH14-Ref,76
POL LIN1-Ref-POL LIN2-Ref,77
POL LIN2-Ref-POL LIN3-Ref,78
POL LIN3-Ref-POL LIN4-Ref,79
POL LIN4-Ref-POL LIN5-Ref,80
POL LIN5-Ref-POL LIN6-Ref,81
POL LIN6-Ref-POL LIN7-Ref,82
POL LIN7-Ref-POL LIN8-Ref,83
POL LIN8-Ref-POL LIN9-Ref,84
POL LIN9-Ref-POL LIN10-Ref,85
POL LIN10-Ref-POL LIN11-Ref,86
POL LIN11-Ref-POL LIN12-Ref,87
POL LIN12-Ref-POL LIN13-Ref,88
POL LPC1-Ref-POL LPC2-Ref,89
POL LPC2-Ref-POL LPC3-Ref,90
POL LPC3-Ref-POL LPC4-Ref,91
POL LPC4-Ref-POL LPC5-Ref,92
POL LPC5-Ref-POL LPC6-Ref,93
POL LPC6-Ref-POL LPC7-Ref,94
POL LPC7-Ref-POL LPC8-Ref,95
POL LPC8-Ref-POL LPC9-Ref,96
