"","trial","electrodes","bin_1","bin_2","bin_3","bin_4","bin_5","bin_6","bin_7","bin_8","bin_9","bin_10","bin_11","bin_12","bin_13","bin_14","bin_15","bin_16","bin_17","bin_18","bin_19","bin_20","bin_21","bin_22","bin_23","bin_24","bin_25","bin_26","bin_27","bin_28","bin_29","bin_30","bin_31","bin_32","bin_33","bin_34","bin_35","bin_36","bin_37","bin_38","bin_39","bin_40","bin_41","bin_42","bin_43","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_disadvent","ineq_advent","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",1,"LOF3-LOF4",0.0396820399,-0.0581588599,-0.0396820399,-0.1119630579,-0.2230361749,-0.1112711029,0.0465384871,0.2123499851,0.2566930431,0.2981134731,0.3794739421,0.1107847701,-0.0135049889,0.0740346511,0.0160802831,0.1805879591,0.5462967591,0.5809560851,0.1973431831,0.2369330281,0.4043495711,0.0860412081,-0.0457650259,0.1189389691,0.0687803221,0.1853469751,0.2461655821,0.1053370311,0.3559961841,0.2715504781,-0.0522985459,-0.0851253559,-0.0749051939,0.0199717019,0.0915084529,0.0503636401,-0.0147809519,-0.0938129809,0.0707357641,0.1886261371,0.0946314211,0.0703289111,0.2072510891,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"2",1,"RIN3-RIN4",0.0938964406,-0.1026758926,-0.0938964406,-0.1257502286,0.0952593624,0.0477788304,-0.2037002206,-0.1983046911,-0.2349042861,-0.1652537586,-0.0768669366,-0.2052507516,-0.3421006016,-0.0720510136,0.283130457,0.00728849699999998,-0.1911214136,-0.0234811536,0.1584531064,0.3225810764,0.1518875084,0.0488136284,-0.0982290336,-0.2645084536,-0.0926413236,0.0822647204,-0.0628444696,-0.1151987486,0.0199132744,0.0082949594,-0.0606310199,0.0436647997,0.319845616,0.1346369125,-0.1221971145,-0.1000547396,-0.0225404806,0.0919084046,-0.0892031574,-0.2049212736,0.0952225764,0.3761984964,0.0492186445,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"3",1,"RIN2-RIN3",-0.0947070104,0.0373958376,0.0947070104,0.0143710004,-0.0322642766,-0.0504666236,0.0369051474,0.2531927054,0.303301532,0.362583452,0.4422454734,0.1279987534,-0.1118821286,0.2274591024,0.3394654924,0.1631234644,0.1675104424,0.2823742894,0.1928967404,0.0410199564,0.0738836674,0.1529444914,0.195814724,0.182300374,0.3441809634,0.3503664834,0.1144116914,0.1218187534,0.0492402634,0.0577633306,0.1240748006,-0.0662224576,-0.0330880932,0.0897228958,0.0310265764,-0.0204072676,0.2123953374,0.5983659854,0.3618555704,0.0184702254,0.1858770774,0.3838414984,0.3214949014,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"4",1,"RAM7-RAM8",0.031728326,-0.00783689599999998,-0.031728326,-0.018350029,0.080035021,-0.010544629,-0.079345259,0.124070121,0.136642655,0.018530435,-0.121631369,-0.195360519,-0.092483819,-0.104082569,-0.149014277,-0.19850159,-0.039482772,0.144257474,-0.001773424,-0.143192642,-0.248085474,-0.032883609,0.104302951,-0.011235207,0.053378473,-0.032018485,-0.108954545,-0.219941189,-0.289192789,0.06346175236,0.14197550336,-0.04136743,-0.05941664,0.145573012,0.237460381,0.066937726,-0.02634481,-0.171124875,-0.203452534,-0.102525904,-0.227443587,-0.193819882,-0.175567094,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"5",1,"RAM6-RAM7",0.0162399185,-0.1727713315,-0.0162399185,0.0078107395,-0.1406186724,-0.0764113774,0.0098334565,0.0238755295,-0.0562637816,0.0789831124,0.1110329375,-0.1504620325,-0.2325266425,-0.0416917565,-0.0474732055,0.008111216,0.028534679,-0.0304284055,0.0586194085,-0.0403640565,-0.0069342005,0.2153920915,0.2328126085,0.0250233085,0.0584058815,0.1015709165,-0.1525009735,-0.0450906285,0.0828350815,-0.0399116165,0.0880259085,0.3089948365,0.2606458425,0.1249276385,0.0282671885,-0.0736484475,-0.1187839226,-0.1050294326,-0.1269558185,-0.2338765575,-0.1244067595,-0.1144633805,-0.2910976385,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"6",1,"LOF5-LOF6",-0.1636797105,0.0160161235,0.1636797105,0.0714338805,0.0336066275,0.0232204895,0.0748807525,0.0679918885,-0.1509991155,-0.0785252435,0.0354447385,-0.1279901455,-0.0646795041,0.0525959139,0.0719780775,0.1314014735,0.1195145225,0.0938263525,0.1607520765,0.2194488225,0.1155459855,0.1480840725,0.1723791603,0.0322615773,0.0886406035,-0.0556804965,-0.1871279335,0.0323463955,0.1345365965,-0.0512866695,-0.1840434115,-0.0887615545,0.00713965350000001,0.0263214165,-0.01131928674,0.01161972526,0.1201124475,0.0695299412,-0.0420166788,0.1844296825,0.2832084865,0.0709899615,0.0362218865,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"7",1,"RAM5-RAM6",-0.11196864133,0.13221537333,0.11196864133,-0.29234415867,-0.4201284776,-0.2203181736,-0.28560393127,-0.28710875297,-0.13022356637,-0.02729711867,0.05322499133,-0.02241189567,-0.17752074067,-0.22626162167,-0.25948201027,-0.19296753227,-0.09697977867,-0.11790858067,-0.10536027867,-0.02997380967,0.13965118833,0.23819149433,0.05580773533,-0.12717431417,-0.08562824317,-0.06285185967,-0.10831598167,-0.22006592747,-0.26435545547,-0.15087694667,-0.16944325867,-0.14324566867,0.00367957132999999,-0.04178744067,-0.11407473167,-0.13374905967,-0.23629336147,-0.23317965217,-0.12124339437,-0.22005330267,-0.18303709267,-0.21605195367,-0.17919606867,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"8",1,"LOF4-LOF5",0.06263765,0.0979945,-0.06263765,0.0984108,-0.054282739,-0.2914419946,-0.1285676356,-0.213948522,-0.341662004,-0.340809037,-0.089311515,0.064236594,0.044957623,-0.05100487,-0.177525319,-0.101081138,-0.042092732,-0.167669148,-0.202991794,-0.055741198,-0.152278328,-0.013332452,0.025146581,-0.101960395,-0.002855516,0.012167391,-0.047695977,-0.220807226,-0.1413310651,0.0502565269,-0.084378998,-0.147635298,-0.058648373,0.071744594,-0.041075945,-0.378954044,-0.345607917,-0.038492866,-0.028278135,-0.255158511,-0.189330054,-0.064299819,-0.089991401,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"9",1,"RIN1-RIN2",0.1331636545,0.0412764475,-0.1331636545,-0.0445733805,0.1266796995,0.0966162155,-0.1255032745,0.0367543945,0.2708756945,0.2137981555,0.2696884955,0.2735692935,0.1699788188,0.1321875668,0.2100798515,0.2256344455,0.0982772895,0.1281885195,0.1306015635,0.1830760695,0.4075537195,0.4090606835,0.2563421865,0.2555311865,0.3690683155,0.2171247855,0.0770965195,0.1216187318,0.0289919748,-0.0624999295,-0.00816925349999999,0.0548395385,0.1138859025,0.1336487765,0.0271918565,0.0407555225,0.2884033955,0.5576274755,0.4165231575,0.1050291475,-0.0402069255,-0.1074154795,-0.0484751085,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"10",1,"LIN1-LIN2",0.01665581917,-0.05131438917,-0.01665581917,-0.06170031717,0.00293318383000001,0.15693939883,0.23045111783,0.14860015483,0.02800468983,0.12586701183,0.29223486683,0.18191214573,-0.00374375427,0.08818036183,0.26924251183,0.29733976083,0.10747718003,0.16422919203,0.23195884283,0.06134409983,-0.09241929217,-0.06076799217,-0.00877321416999999,0.09279526083,0.05491733483,-0.10826642267,-0.09395046367,-0.03555953817,0.07328739983,0.02862019183,-0.10016610517,-0.17078610417,-0.08948778997,-0.11460416697,-0.06238677117,0.03307154783,-0.02670272417,-0.02654431417,-0.11401807217,0.04348318383,-0.04119948617,-0.04491202517,-0.06102672517,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
