"","trial","electrodes","pre_13","pre_12","pre_11","pre_10","pre_9","pre_8","pre_7","pre_6","pre_5","pre_4","pre_3","pre_2","pre_1","post_1","post_2","post_3","post_4","post_5","post_6","post_7","post_8","post_9","post_10","post_11","post_12","post_13","post_14","post_15","post_16","post_17","post_18","post_19","post_20","post_21","post_22","post_23","post_24","post_25","post_26","post_27","post_28","post_29","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_disadvent","ineq_advent","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",1,"LIN1-LIN2",0.05850270683,0.20651905083,0.15104801683,0.11623196083,0.08345775323,0.21970260723,0.185012185096667,0.12886791203,0.0459360386966667,0.19502464283,0.248373585496667,0.205991249696667,0.173627596363333,0.159304870363333,0.142816465496667,-0.0120604498366667,-0.04987761677,-0.0566904281033333,0.0751082638966667,0.0172401281633333,0.00746533809666668,-0.106700729903333,-0.04649292057,0.0174582301633333,0.0270824814966667,-0.03351610317,-0.138966548503333,-0.103635097836667,-0.14060725317,-0.0269164698366667,-0.06105646517,0.0244829254966667,-0.0384495638366667,-0.0713673258366667,0.00741491149666668,-0.0872017125033333,0.05117643283,-0.15268025517,-0.0633828425033333,-0.211818107836667,-0.08033735197,-0.10029500597,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"2",1,"LOF3-LOF4",-0.1519548549,-0.0357240589,0.138732034433333,0.2088404151,0.306862152433333,0.317721815766667,0.204766569766667,0.1081861251,0.00632169643333333,0.0489081551,0.1394496711,0.3585798631,0.5105578631,0.3629595171,0.3081312071,0.253381243766667,0.2311374651,0.0661093724333333,0.0392174031,0.0552726471,0.194929196433333,0.138392894433333,0.220580955766667,0.249463562433333,0.2374356731,0.144593926433333,-0.0578270249,-0.0834440195666667,-0.00751928223333333,0.0347175444333333,0.0733555004333333,0.0085084691,-0.0472211989,0.0263873924333333,0.0846691677666667,0.1465948731,0.0920679577666667,0.1656499891,0.170420203766667,0.121477687766667,-0.0530946902333333,-0.0911031222333333,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"3",1,"RIN1-RIN2",0.0747109961666667,-0.0107496245,0.0176003788333333,0.1072879855,0.2389792855,0.261165308833333,0.242881036166667,0.234916576833333,0.147821876166667,0.192618182166667,0.187179932833333,0.165999212833333,0.129642498166667,0.1055599775,0.1990018335,0.290528879033333,0.375281815033333,0.3326347457,0.279475688166667,0.3066253015,0.248533802166667,0.1873273313,0.0873878833666667,0.0634244947,-0.00931988843333333,-0.0178935018333333,0.00951455350000001,0.0981216361666667,0.100732034166667,0.0819034395,0.0572351501666667,0.190580708833333,0.410258156833333,0.4304651035,0.2755549215,0.0266338968333333,-0.0621392925,-0.0666516458333333,0.0570611521666667,0.179196180166667,0.241388541766667,0.181426528633333,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"4",1,"RIN2-RIN3",-0.0584200739333333,0.0299079200666667,0.1355393474,0.262535101,0.347987858333333,0.384454111,0.231165020733333,0.0760039207333333,0.0925964260666667,0.2212893794,0.269393954733333,0.1762359294,0.228084236066667,0.1941187054,0.149635694733333,0.0559746014,0.126875710066667,0.154454145,0.200460898333333,0.284357123666667,0.300651626733333,0.2370583274,0.1485292174,0.0391878640666667,0.114834075866667,0.0402861138666667,0.0347414225333333,-0.0240501067333333,0.0137839339333333,0.0453465746,0.0240904287333333,0.133768468066667,0.400627521866667,0.3805665212,0.264702915866667,0.109679402066667,0.289555512066667,0.306227310733333,0.155785954733333,0.257348868066667,0.3449520414,0.510519468066667,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"5",1,"RIN3-RIN4",-0.00271332693333334,-0.0407658036,-0.200677161733333,-0.226424531733333,-0.172092005733333,-0.147549820933333,-0.151108566933333,-0.263133118933333,-0.145063012266667,0.0605561448,0.0852401994666667,-0.0213162072,-0.110486464933333,0.0882021870666667,0.222755367066667,0.193487951733333,0.143488925066667,-0.0802959416,-0.127597716933333,-0.1715174876,-0.00240761760000002,-0.0444278642666667,-0.0223431082666667,-0.0845899462666667,0.0255058537333333,-0.0449582891333334,0.0474421447333333,0.169737764733333,0.1666476756,0.0443690690666667,-0.1146628956,-0.0544117156,0.0320493021333333,-0.0460768532,-0.0824184532,-0.0399149702666667,0.2238031164,0.1213121548,-0.0730353718666667,-0.2238799052,-0.212466376933333,-0.151341396933333,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"6",1,"RAM5-RAM6",-0.331124732616667,-0.281695249083333,-0.24487493207,-0.223651676736667,-0.0735831936033333,0.00919115866333334,-0.00103972466999999,-0.0990500620033333,-0.192556383336667,-0.255784322936667,-0.196791418936667,-0.166152130936667,-0.103620152003333,-0.10615097067,-0.06044420267,0.0634732839966667,0.16839612533,0.116355966663333,-0.00584313153666666,-0.09714616087,-0.0829476895366667,-0.0889599913366667,-0.17615648427,-0.22032476627,-0.206240772936667,-0.182418700003333,-0.12428287867,-0.0781927320033333,-0.0404810480033333,-0.0629876760033333,-0.133741089336667,-0.192445600936667,-0.20849863587,-0.183343852536667,-0.20027235027,-0.152915466003333,-0.25946280267,-0.122027044003333,-0.198054252003333,-0.0226854713366667,-0.02831642467,-0.03692699507,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"7",1,"RAM6-RAM7",-0.1202697125,-0.0148658671666667,-0.00949756583333333,-0.00459177183333333,0.0366210835,0.0545419395,-0.0288239371666667,-0.154039660633333,-0.127463585966667,-0.0835130846333333,0.0298296291,-0.0366241135666667,0.0414280131,-0.00103150783333333,-0.00657072383333333,0.0156141881666667,0.1004788655,0.1964169295,0.119208436166667,0.0894318361666667,0.0279235215,-0.0295259985,-0.0354181851666667,-0.0369300285,0.0400060861666667,0.0486881435,0.1913540235,0.252222358833333,0.207663820166667,0.0584686261666667,-0.0101161505,-0.0947422274333333,-0.0980347467666667,-0.1395637901,-0.177685395166667,-0.148347139833333,-0.165427289833333,-0.186066079833333,-0.2182632889,-0.1206363749,-0.0418466929,-0.0487974758333333,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"8",1,"RAM7-RAM8",-0.0310726923333333,0.028893701,-0.00452836566666667,0.120091771666667,0.058478085,-0.0426507283333333,-0.158074599,-0.111657005666667,-0.144676285666667,-0.0820751223333333,-0.220724468333333,-0.0406160816666667,-0.0224704836666667,0.092017451,-0.091014159,-0.172086153666667,-0.110262836333333,-0.00434488633333333,0.0534006683333333,0.0504248956666667,-0.0451438836666667,-0.018817305,-0.227939385,-0.179733625666667,-0.111937312826667,0.0559584011733333,0.0467025805066667,-0.0246723743333333,0.0606036183333333,0.161567565666667,0.141634715666667,0.0416945956666667,-0.133350271,-0.134230225666667,-0.183199672333333,-0.173071591,-0.181798313666667,-0.221343100333333,-0.123864161666667,-0.141361716733333,-0.0324860947333333,-0.0461366247333333,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"9",1,"LOF4-LOF5",-0.108425708533333,-0.207526749866667,-0.214496326533333,-0.246660224,-0.354104311333333,-0.158830068,-0.0765624826666667,0.096923188,-0.056680242,-0.0676130146666667,-0.151556846666667,-0.060544352,-0.148395828666667,-0.129340398666667,-0.157851708,-0.112942918,-0.032409974,-0.056805084,0.00229290933333332,-0.0525801706666667,-0.00749047466666666,-0.0206509166666667,-0.152566354,-0.123454847266667,-0.0856376612666667,-0.0280033479333333,-0.0915453786666667,-0.101662368666667,0.0145040993333333,-0.03283509,-0.204412510666667,-0.313436091333333,-0.198194634666667,-0.077470422,-0.140878446666667,-0.170277448666667,-0.157647341333333,-0.0625730393333333,-0.0137845133333333,-0.0673845865333333,-0.00590119120000002,-0.1158019552,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
"10",1,"LOF5-LOF6",0.0214074998333333,0.0645642031666667,0.0397203911666667,-0.0506867688333333,-0.0572989015,-0.0671027621666667,-0.0447266208333333,-0.0602598365666667,-0.0297691744333333,0.0752064462333333,0.0987705979666667,0.114005055833333,0.111822133833333,0.136793193833333,0.185595711166667,0.151720119833333,0.173487933833333,0.115686886233333,0.1182240509,0.0761070189,-0.0393605481666667,-0.0694148675,-0.0726953988333333,0.0612397451666667,0.0180724411666667,-0.0830153028333333,-0.1332391135,-0.0450351681666667,0.00587881116666666,0.0104504837,0.0106612337,0.0745829537,0.0610453441666667,0.0360052075,0.108580588166667,0.181363165166667,0.183060887166667,0.0776669565,0.128868229833333,0.2002969125,0.154052619166667,0.114654365833333,2397,"DG_s12",-0.703,0,0.75,0.75,10,18,10,10,0.75,"Right",10,18,8,8,0,8,0,-8,"Disadvent",0,8,10,10,10,18
