Regions (not duplicates for partial coverage)
aMCC
SFS
MFG
CC
medial OFC
insula
frontal operculum
IFG
amygdala
STS
MTG
SFG
MFS
MFG
IFS
anterior temporal
STG
frontal pole
cingulate
"junction cingulate, going into SMA"
MGG
OFC
PRC
ventral temporal cortex
ITS
ITG
ERC
PHG
fusiform gyrus
CA1
subiculum
CA3
entorhinal cortex
parietal cortex
"area 25/subgenial cortex, edge OFC"
inf caudate
motor cortex
