"","trial","electrodes","pre_13","pre_12","pre_11","pre_10","pre_9","pre_8","pre_7","pre_6","pre_5","pre_4","pre_3","pre_2","pre_1","post_1","post_2","post_3","post_4","post_5","post_6","post_7","post_8","post_9","post_10","post_11","post_12","post_13","post_14","post_15","post_16","post_17","post_18","post_19","post_20","post_21","post_22","post_23","post_24","post_25","post_26","post_27","post_28","post_29","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_disadvent","ineq_advent","ineq_disadvent_choice","ineq_advent_choice","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",1,"LAM4-LAM5",0.209193253166667,0.0613635251666667,0.0661458609,0.1001935729,0.0653059675666667,0.0428101418333333,-0.0615892708333333,-0.1288947175,-0.0763202493,0.208711350033333,0.5130687767,0.607269971833333,0.806889375766667,0.474454723766667,0.3561526531,-0.0687879001666667,0.0480496771666667,0.0164183531666667,-0.0267192815,-0.1144797355,-0.187323760833333,-0.146785024166667,-0.0618832935,0.0380355283666667,-0.0536911596333333,-0.153175449566667,-0.1161701381,-0.0660443061,-0.0637929595,-0.1377406335,-0.121793558166667,-0.1452930855,-0.1514107155,-0.1493305995,-0.0458181328333333,0.0448636511666667,0.0793285811666667,0.0972181040333333,0.0291723553666667,-0.0816897853,-0.1649888435,-0.210046494833333,2625,"DG_s13",-0.797,0,1.015,1.015,10,10,10,18,1.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"2",1,"LIN9-LIN10",-0.107058024833333,-0.241966924833333,-0.2423753375,-0.212053884166667,-0.0533955908333333,-0.00962163083333334,-0.0246836675,-0.0562396588333333,-0.169794116966667,-0.213753318966667,-0.314778442966667,-0.182915134166667,-0.164132580166667,-0.0352963981666667,-0.0667865255,-0.0842725475,-0.0948864421666667,-0.127657940833333,-0.0343568528333333,-0.186470629893333,-0.18849737856,-0.182315029893333,-0.0832980915,-0.0450066768333333,-0.196516722166667,-0.3245586635,-0.4091654235,-0.418556974166667,-0.3895815135,-0.351448706166667,-0.253919248833333,-0.230609234833333,-0.266076258833333,-0.2600927835,-0.349921470166667,-0.347715934633333,-0.3627240813,-0.239740147966667,-0.267701566166667,-0.3028415415,-0.405419390833333,-0.355272952833333,2625,"DG_s13",-0.797,0,1.015,1.015,10,10,10,18,1.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"3",1,"RTI2-RTI3",0.05308923985,0.07867616985,0.0135831491833333,-0.000633683483333342,-0.00830012941666666,-0.0502922260833333,-0.14884365615,-0.102595044883333,0.09974394845,0.16335026785,0.0737152911833333,-0.02724681815,0.0873803285166667,0.112615739183333,0.110658042516667,0.0563385491833333,0.20336026985,0.305925629183333,0.358750329183333,0.219626115183333,0.07653213585,-0.0681145294833333,-0.153852884816667,-0.239000925483333,-0.30650740015,-0.259476485483333,-0.117100398816667,-0.0960229894833333,-0.0884022854833333,-0.12110321215,0.01674689185,0.0468730859166667,0.128213342583333,0.04821564925,0.00975848451666667,-0.06692713215,-0.0348540868166667,0.00841997451666666,-0.00357009881666666,-0.0949943108166667,-0.0864613408166667,-0.0674326694833333,2625,"DG_s13",-0.797,0,1.015,1.015,10,10,10,18,1.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"4",1,"LIN4-LIN5",0.231845573333333,0.1236453232,0.0332116158666667,0.0724610145333333,0.0146258713333333,0.0386555902,0.0381399562,0.0351304055333333,-0.0665983393333333,-0.0642443126666667,-0.107751162,-0.0282881046666667,0.018845646,0.0403268393333333,0.07746869,0.015575756,0.0383508386666667,0.127948810666667,0.184648374,0.191986337266667,-0.00462906273333333,-0.132976336066667,-0.0037827404,0.0978412622666667,0.180643574266667,0.102520905333333,0.0522181746666667,0.053108062,-0.074229824,-0.017568118,0.103039082666667,0.160744354,0.219801251333333,0.0598832154666667,0.257825976133333,0.174498826133333,0.110066462,0.101247050666667,0.339659905333333,0.457164035333333,0.264364702666667,0.237826389333333,2625,"DG_s13",-0.797,0,1.015,1.015,10,10,10,18,1.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"5",1,"RIN1-RIN2",0.187954205666667,0.115565366646667,0.10887327598,0.144806002646667,0.203263767666667,0.103609499066667,0.0513867330666667,-0.0224682869333333,0.0238363223333333,0.052484703,0.236513331666667,0.262597684333333,0.315652756333333,0.172399134333333,0.0643822483333333,0.178390700333333,0.216377293133333,0.232455460466667,0.0660231951333333,0.0673652743333333,0.0529804003333333,0.0163193876666667,-0.084655091,0.0159898756666667,0.184671877666667,0.349423518333333,0.373570991666667,0.364823941,0.446175504,0.391137487333333,0.379620669333333,0.204914835666667,0.188353951,0.111216984333333,0.179718809,0.110544177,0.0591926236666667,-0.026002271,0.012571413,0.0340299763333333,0.0553105583333333,0.176257301,2625,"DG_s13",-0.797,0,1.015,1.015,10,10,10,18,1.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"6",1,"LTI9-LTI10",0.0938621583333333,0.258849658333333,0.210160249,0.282914774333333,0.163667784333333,0.197219633666667,0.137424673,0.146322589666667,0.199704843,0.253959230333333,0.255408164333333,0.104113195,0.127031415666667,0.326323141666667,0.436726531,0.444273870333333,0.220637651,0.186064366333333,0.113850953,0.112178441666667,0.0673290656666667,0.128366612333333,0.388180603,0.522404577,0.532259547666667,0.3467786388,0.2293559188,0.155222101466667,0.0539081363333333,0.113527629666667,0.0715076696666667,0.118056636333333,0.0972206676666667,0.345004794333333,0.411251805,0.330428577,0.178807740333333,0.0800629536666667,0.0342044402666667,0.00796371653333334,0.0258164465333333,0.0764710432666667,2625,"DG_s13",-0.797,0,1.015,1.015,10,10,10,18,1.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"7",1,"LTI1-LTI2",0.0383120798333333,-0.1286141735,-0.154425872166667,-0.2789515375,-0.2296635455,-0.2876270335,-0.2790897635,-0.187768302833333,-0.186911576833333,-0.228141478166667,-0.262429154166667,-0.305042358166667,-0.230492546166667,-0.1823464871,-0.102949655766667,-0.116144951766667,-0.138985134166667,-0.210156394166667,-0.264748072833333,-0.354654334833333,-0.383634148833333,-0.399966776166667,-0.368862876833333,-0.191903614166667,-0.2120661875,-0.1887292175,-0.278809736833333,-0.192622134833333,-0.1066323355,-0.0656908655,0.0931235925,0.0384483951666666,-0.0327368361666667,-0.125354502833333,-0.194435201966667,-0.1496449833,-0.1738394253,-0.1466365915,-0.0746082201666667,-0.00937167756666668,0.0106880984333333,0.0413141537666667,2625,"DG_s13",-0.797,0,1.015,1.015,10,10,10,18,1.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"8",1,"LIN3-LIN4",0.277420867166667,0.157336843833333,0.0804372438333333,0.0275751778333333,-0.0853423388333333,-0.0704204148333333,-0.0120754428333333,-0.00180080283333334,0.0391910199,0.1135794673,0.1577326365,0.1360540197,-0.0288075263666667,-0.0491334875666667,-0.0443307661666667,0.0194589491666667,0.0676751991,0.124495715766667,0.179673182433333,0.167409983833333,0.139114642166667,0.0775101321666667,0.213185454833333,0.215828093166667,0.259571421833333,0.1056098165,0.0607724189,0.0633726082333333,0.0899509869,0.0869741571666667,0.125700747166667,0.149885039166667,0.228163981833333,0.1607979805,0.2920947265,0.308556940433333,0.242854048433333,0.198096882433333,0.295318041833333,0.466487801833333,0.2997697985,0.3188743985,2625,"DG_s13",-0.797,0,1.015,1.015,10,10,10,18,1.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"9",1,"LIN2-LIN3",-0.045752494,-0.0664469913333333,0.0834075326666667,0.0926604946666667,0.283286466666667,0.0900333346666667,0.0688063946666667,-0.00588038333333333,0.0131378026666667,0.091229408,0.033802266,0.0864111793333333,-0.00240828733333333,-0.00507697113333333,0.0450552022,0.158334328866667,0.188967732,0.149702302666667,0.0295877753533333,0.0443994686866667,-0.0307009286466667,-0.00978717066666666,0.124526676,0.282614956,0.461066112,0.387302679333333,0.444521866,0.524750266,0.584198632,0.442671625333333,0.2404622,0.359132466666667,0.529974930133333,0.6055433488,0.5784345488,0.41670042,0.286778421333333,0.117642101333333,0.129889513333333,0.338967652,0.319238065333333,0.165268458666667,2625,"DG_s13",-0.797,0,1.015,1.015,10,10,10,18,1.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"10",1,"RTI1-RTI2",-0.259224142016667,-0.129312522416667,-0.13890319575,-0.25992204915,-0.250824137416667,-0.22051373475,-0.05044163475,-0.234511966083333,-0.17906241075,-0.303656886283333,-0.134770837616667,-0.230402922283333,-0.02401094675,-0.118633391416667,0.0267068161833333,-0.00366195048333331,0.182993712183333,0.27946829125,0.243975424583333,0.09395957325,0.0182752265833333,-0.0458446914166667,0.0123442025833334,-0.0897161420833333,-0.0908846720833333,-0.14435480475,-0.0965488194166667,-0.13654846275,-0.234623879416667,-0.18071550075,-0.14972635875,-0.0580541454166667,-0.0186069314166667,0.0563054179166667,0.09465823125,-0.03761697475,-0.000456188083333336,-0.0245830874166667,-0.0525174494166667,-0.22048732075,-0.146129408083333,-0.134192518083333,2625,"DG_s13",-0.797,0,1.015,1.015,10,10,10,18,1.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
"11",1,"RIN6-RIN7",-0.10159956785,-0.186170104516667,-0.18422833785,-0.12711132645,-0.04144885045,0.0184537982166667,0.0368647873033333,0.0616157953033333,0.07935678397,0.06654723015,0.0173657048166667,0.117147660816667,0.335932380816667,0.459522237483333,0.44014550415,0.30869030195,0.246240148616667,0.0581169726166667,0.12972344815,0.0483734794833333,0.09451681815,0.108009151483333,0.344132006816667,0.34564489215,0.183448110083333,0.110776663416667,0.17295300475,0.183009686816667,0.165794626816667,0.174045598016667,0.16908209535,0.0566420080166667,-0.0128580649833333,0.0398123510166667,0.105845385016667,0.13602478615,0.0458470148166667,0.07482632815,0.06825139415,0.0950345014833333,-0.01241678585,-0.11346335105,2625,"DG_s13",-0.797,0,1.015,1.015,10,10,10,18,1.015,"Left",10,18,8,0,8,8,0,0,0,-8,"10-10",0,-8,10,10,10,18
