"","X","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p","predictor","region","anova_p","diff_adj_r2","perct_adj_r2","correction"
"1",1,"LOF1-LOF2","pre_15",0.000296196982981683,0.000502711295632325,0.0663677821247294,0.796937126011041,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.915761486858851,-0.00448812589525183,0.583755305383768,8
"2",2,"LOF1-LOF2","pre_14",7.11177114685973e-06,7.66494262421193e-05,0.00160727170973887,0.968056135209776,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.549343308872745,-0.0028579893204288,-6.30261107237389,8
"3",3,"LOF1-LOF2","pre_13",2.07801293948894e-06,4.16606456272301e-05,0.000469631900225666,0.982729524261283,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.588443207294526,-0.0031381036841992,-0.659741789237704,8
"4",4,"LOF1-LOF2","pre_12",0.000401870232561169,0.000589207739170485,0.0908591861610971,0.763364870313968,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.900521838008384,-0.0044114645671971,1.12427012399231,8
"5",5,"LOF1-LOF2","pre_11",0.000120849187900147,0.000357232176744514,0.0273152174872838,0.868876723989496,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.859931171629221,-0.00436188090630751,0.506970319348625,8
"6",6,"LOF1-LOF2","pre_10",0.000130445410175409,0.00034361212221398,0.0294845088184891,0.863818753218795,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.89146042764897,-0.00440181961190045,0.917181086366505,8
"7",7,"LOF1-LOF2","pre_9",0.00571078824477999,0.00230434915997201,1.29805103792881,0.255775664770049,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.338341867294871,-0.000368286717315258,-0.0663858884845504,8
"8",8,"LOF1-LOF2","pre_8",0.00379219091931816,0.00186887132336793,0.860297560362221,0.354644924842875,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.197631536442157,0.00294629065620278,-0.38355020291421,8
"9",9,"LOF1-LOF2","pre_7",0.00540107180401552,0.00225453595411195,1.22727080545072,0.269116085665982,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.635087755142039,-0.00343983186617858,-0.766140226927073,8
"10",10,"LOF1-LOF2","pre_6",0.00396565128784204,0.00190150031661245,0.899805505915643,0.343847081854387,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.718593498110485,-0.0038825968080467,67.370407698547,8
"11",11,"LOF1-LOF2","pre_5",0.00170541499835187,0.00124723289369535,0.386082220036169,0.53499219692896,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.106445614830887,0.00705897045552439,1.71597191719772,8
"12",12,"LOF1-LOF2","pre_4",0.00144290137055925,0.0010797922391547,0.326566913593594,0.568255517879045,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.0608660914819964,0.0109043473652743,0.837216714288389,8
"13",13,"LOF1-LOF2","pre_3",0.0021235373872036,0.00126466224824068,0.480940745161393,0.488708633457165,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.163978349896225,0.00416138269753874,-1.27393776418197,8
"14",14,"LOF1-LOF2","pre_2",0.000870703903990232,0.000783536789966856,0.196950567930182,0.65761819612218,4.66517446214324,0.5564,"ineq_disadvent","OFC",0.421145145697008,-0.00158257713068877,0.211630072413672,8
