"","X","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p","predictor","region","anova_p","diff_adj_r2","perct_adj_r2","chisq_stretch","anova_permuted"
"1",1,"LAC1-LAC2","pre_15",0.00304872631290088,0.00130597907064958,0.691119179944847,0.406661431835991,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.290614873038737,0.000445942987838954,-0.0869770380437103,0,1
"2",2,"LAC1-LAC2","pre_14",0.00894099336631415,0.00237635121450764,2.03889424066742,0.154701444174803,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.131493614784671,0.00555254310084119,-0.679545845686071,0,1
"3",3,"LAC1-LAC2","pre_13",2.18216510039168e-05,0.00011405074074589,0.00493180074691991,0.944075259782361,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.588756458268364,-0.00319294310660245,0.653217524868907,0,1
"4",4,"LAC1-LAC2","pre_12",0.000104642450014938,0.000227447313783941,0.0236516686719328,0.877911775727754,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.611723697851789,-0.00333457166284723,2.29757078828971,0,1
"5",5,"LAC1-LAC2","pre_11",0.00010589140555207,0.0002299477839091,0.0239339920588275,0.87719105624705,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.518355422149056,-0.00263969531163677,0.599851237701378,0,1
"6",6,"LAC1-LAC2","pre_10",0.000713610215529816,0.000650169820244676,0.161391079032431,0.688258637597622,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.984813901263855,-0.00447408865555188,1.75158970607922,0,1
"7",7,"LAC1-LAC2","pre_9",0.000326565058512482,0.00042834666038903,0.0738278128078304,0.78609094942732,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.871326328447546,-0.00438546724538735,0.51884483663364,0,1
"8",8,"LAC1-LAC2","pre_8",0.00212136855399425,0.00114411639741997,0.480448501545694,0.488930935317958,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.882769366459781,-0.00437268412292924,4.55970398512264,0,1
"9",9,"LAC1-LAC2","pre_7",0.00119877841054186,0.000800794925670129,0.271249088333435,0.603004997074976,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.981944695726306,-0.00438865949646672,-0.266898702843354,0,1
"10",10,"LAC1-LAC2","pre_6",0.000127668402236457,0.000280684331511738,0.0288567429997118,0.865262193817793,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.870969232942979,-0.00437368880718481,0.742086710671169,0,1
"11",11,"LAC1-LAC2","pre_5",0.00422323520030914,0.00154806927890805,0.958499122503487,0.328612155059946,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.469010792293826,-0.00217123302759026,0.33109825560552,0,1
"12",12,"LAC1-LAC2","pre_4",0.00232403028661136,0.00107973769366416,0.526454340606255,0.468852013340021,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.476751334234624,-0.00225421771903811,0.281305486138955,0,1
"13",13,"LAC1-LAC2","pre_3",6.03614154838831e-05,0.000198190227262863,0.0136425033801724,0.907121378556363,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.917314021938882,-0.00445598934467273,0.50225183550665,0,1
"14",14,"LAC1-LAC2","pre_2",0.000221438144742085,0.00038551798013462,0.0500561050427448,0.823167787818097,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.970945039263981,-0.00448832781999586,0.669561273559855,0,1
"15",15,"LAC1-LAC2","pre_1",0.00383602203797177,0.00146318498951733,0.870279391506632,0.351873540961067,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.350182700116524,-0.000631633550582711,0.0770598386644743,0,1
"16",16,"LAC1-LAC2","post_1",0.00106589300200375,0.000764043236367383,0.241148857332319,0.623854093845726,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.677251405261541,-0.00371923980975208,0.770577251704668,0,1
"17",17,"LAC1-LAC2","post_2",0.00610365788059929,0.00181568981848835,1.387897935185,0.239999407973821,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.143606678802479,0.00494658645983348,-0.759715276680825,0,1
"18",18,"LAC1-LAC2","post_3",0.00896659248167774,0.00227390741768067,2.04478465154234,0.154109578796024,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.304223909815622,0.000175956565134472,-0.055519306148816,0,1
"19",19,"LAC1-LAC2","post_4",0.00248388823520999,0.00129083561945025,0.562756565569965,0.45393196396904,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.457925793306085,-0.00205239523388046,0.336088729374232,0,1
"20",20,"LAC1-LAC2","post_5",0.00179982646787519,0.00108315147775795,0.407494200587515,0.523890422331752,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.382202879585467,-0.00111478295315837,0.137525258944017,0,1
"21",21,"LAC1-LAC2","post_6",0.0017439388445171,0.000979437433708806,0.394818718560706,0.530411768657275,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.656813212077883,-0.00362208341547543,0.47952053576044,0,1
"22",22,"LAC1-LAC2","post_7",0.000394857827562181,0.000455870134079987,0.0892731192189675,0.765377827757654,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.506549386234782,-0.00252979312898471,0.873704583500271,0,1
"23",23,"LAC1-LAC2","post_8",0.000328553987556456,0.000457388451299993,0.0742776053911965,0.785456315703649,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.424255198941061,-0.00164622606228704,-0.300679936574908,0,1
"24",24,"LAC1-LAC2","post_9",9.13210753845916e-07,2.3005105008036e-05,0.000206385818842926,0.988550551430537,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.59483574622755,-0.00323172797724802,0.81258588720276,0,1
"25",25,"LAC1-LAC2","post_10",0.000279368512885179,0.00041265715296626,0.0631549274102025,0.801805547526941,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.236505524849372,0.00168278044897097,0.379001731711516,0,1
"26",26,"LAC1-LAC2","post_11",0.00071941175546733,0.000715246776974971,0.162704107983563,0.687060373809072,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.593482901881318,-0.00318628161489543,-0.435539484262543,0,1
"27",27,"LAC1-LAC2","post_12",0.000279956904532496,0.000439604956845557,0.0632879783308516,0.801601266429089,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.856231036835401,-0.00434402656276256,0.771008046588482,0,1
"28",28,"LAC1-LAC2","post_13",0.00134810880577864,0.000915217178656981,0.305083876366203,0.581258532091573,3.4085938374795,0.958,"ineq_disadvent","Cingulate",0.503638711468009,-0.00249648798843771,8.92905619411094,0,1
