"","X","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p","predictor","region","anova_p","diff_adj_r2","perct_adj_r2","correction"
"1",1,"LAC1-LAC2","pre_15",0.000174596554491866,0.000317151215472428,0.0394657118924788,0.84270747718575,11.1764788729675,0.0614,"ineq_advent","Cingulate",0.719574223285927,-0.00390652526359259,0.761931470470646,52
"2",2,"LAC1-LAC2","pre_14",0.000404783761862559,0.000513098601307651,0.0915181752521958,0.762534153136988,11.1764788729675,0.0614,"ineq_advent","Cingulate",0.322520032734621,-9.54504284289559e-05,0.011681663866423,52
"3",3,"LAC1-LAC2","pre_13",0.0107981987149047,0.00257455108234952,2.46703241583071,0.117656204243842,11.1764788729675,0.0614,"ineq_advent","Cingulate",0.142239088052095,0.00512574592145554,-1.04863348707859,52
"4",4,"LAC1-LAC2","pre_12",0.0162538602241627,0.00287658141899236,3.7340653875377,0.0545633618339182,11.1764788729675,0.0614,"ineq_advent","Cingulate",0.123600147527045,0.00606564716124447,-4.17932350503099,52
"5",5,"LAC1-LAC2","pre_11",0.00436793937352254,0.00149867934202768,0.991485044982332,0.320444599546621,11.1764788729675,0.0614,"ineq_advent","Cingulate",0.480523129850985,-0.00224739385665651,0.510703633322733,52
"6",6,"LAC1-LAC2","pre_10",0.000377077030866381,0.000479604075233079,0.0852515553791812,0.770570762229645,11.1764788729675,0.0614,"ineq_advent","Cingulate",0.603701452978236,-0.00326578938770328,1.27854486446653,52
"7",7,"LAC1-LAC2","pre_9",0.000297762905028914,0.000415066203301285,0.0673144602857796,0.79552400319875,11.1764788729675,0.0614,"ineq_advent","Cingulate",0.908242219044836,-0.00444195150176707,0.525527491669892,52
"8",8,"LAC1-LAC2","pre_8",0.00146865031377473,0.000966035076493218,0.332403154910848,0.564821208709187,11.1764788729675,0.0614,"ineq_advent","Cingulate",0.366409603791216,-0.000820101741200396,0.855177523102776,52
"9",9,"LAC1-LAC2","pre_7",0.000980301563860928,0.000734857704626876,0.221765550548583,0.638152151157471,11.1764788729675,0.0614,"ineq_advent","Cingulate",0.134687448455155,0.00538052640912323,0.327219626030581,52
"10",10,"LAC1-LAC2","pre_6",0.000977807549800794,0.000788269457322268,0.22120079806535,0.638580042917601,11.1764788729675,0.0614,"ineq_advent","Cingulate",0.230109407361686,0.00196406572117036,-0.333244347007728,52
