"","X","electrode","bin","R2","absBeta","Fstat","p","fstretch","perm_p","predictor","region","correction","anova_p","diff_adj_r2","perct_adj_r2"
"1",1,"LAC1-LAC2","pre_13",6.14201982883587e-06,6.13221094564286e-05,0.00138810500708538,0.970312754781257,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.472595134066725,-0.00221126529069626,0.281437532873328
"2",2,"LAC1-LAC2","pre_12",2.63421129455109e-05,0.000134625276378797,0.00595347435277928,0.938565513204568,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.141330016386757,0.00506469839697354,-0.591130878562041
"3",3,"LAC1-LAC2","pre_11",0.00745313932192487,0.00219607775742067,1.69705789568896,0.193999038714232,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.095403298669894,0.0077608519861343,-1.22626392399314
"4",4,"LAC1-LAC2","pre_10",0.0116373632903225,0.0024981080940635,2.66101125834589,0.104228034507947,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.388408807752257,-0.00120027163766978,0.1787084638574
"5",5,"LAC1-LAC2","pre_9",0.00231899631928806,0.00112020601709882,0.525311363277021,0.469334468332472,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.591971941117412,-0.00321067649315654,0.917368312833681
"6",6,"LAC1-LAC2","pre_8",1.59967405639243e-05,0.000101130750304225,0.00361532120080219,0.952107190543699,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.706948158831822,-0.0038747760862452,0.451140748601173
"7",7,"LAC1-LAC2","pre_7",0.00102161874600862,0.000793539528230141,0.231121955119913,0.631158224448023,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.439480962674438,-0.0018447771430965,0.339794894503039
"8",8,"LAC1-LAC2","pre_6",0.00269765777863721,0.00134450840142207,0.611319789557545,0.435109676533666,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.144805611095606,0.00481227433490028,0.50091739437267
"9",9,"LAC1-LAC2","pre_5",0.00215150835370767,0.00111333102955573,0.48728929492664,0.485856586218229,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.315755516782593,-3.97984030037213e-05,-0.0051296703667287
"10",10,"LAC1-LAC2","pre_4",0.000252258165304606,0.000409796132393414,0.0570247303126866,0.811478220780602,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.269216136099876,0.000906811717718004,-0.109341407066273
"11",11,"LAC1-LAC2","pre_3",0.00830888854136267,0.0022432522278288,1.8935420401076,0.170164978727113,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.00115352226737447,0.0413650371728823,-4.79739478484931
"12",12,"LAC1-LAC2","pre_2",0.0137034926103323,0.0026863307814366,3.14001855094426,0.0777403098753883,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.00277286350773493,0.0344552897701849,-4.73903028961292
"13",13,"LAC1-LAC2","pre_1",0.00527393276230441,0.00190944417943579,1.19822817913144,0.274841337892581,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.0203307786421987,0.0191267758884359,-2.3777750416053
"14",14,"LAC1-LAC2","post_1",0.0085569542652542,0.00247178254452873,1.95056253837988,0.163896279213158,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.187503332203981,0.00318326343026842,-0.425459615012817
"15",15,"LAC1-LAC2","post_2",0.0015765391051367,0.000966834781936933,0.356860442203105,0.550853105839156,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.849101362260849,-0.00431446559387028,1.92434235707711
"16",16,"LAC1-LAC2","post_3",9.15040324642717e-05,0.000231851324660356,0.0206818038053722,0.885777317547771,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.746408280934178,-0.00401708660324918,1.20019577434164
"17",17,"LAC1-LAC2","post_4",2.70908741217185e-05,0.000124889294557805,0.00612270342089604,0.937700249211419,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.742740748104836,-0.00401310988374126,0.686249977882477
"18",18,"LAC1-LAC2","post_5",0.00821384201019214,0.00223570380926998,1.87170216013692,0.172638925396863,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.566432019576968,-0.00302988793736092,0.724774861979691
"19",19,"LAC1-LAC2","post_6",0.00243334741224539,0.00130302969167048,0.551277965979402,0.458566990812029,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.73185048097862,-0.00397701055996658,0.525223342389207
"20",20,"LAC1-LAC2","post_7",0.000403004039987178,0.000528143564136841,0.0911156330053093,0.763041205579933,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.192504147281154,0.0030139133980629,-0.377891044886882
"21",21,"LAC1-LAC2","post_8",0.000447153392127478,0.000519969326430327,0.101101874667018,0.750804932025968,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.0563049659160209,0.0115074209449596,-2.64806106618317
"22",22,"LAC1-LAC2","post_9",0.000394024457673464,0.000474460343302093,0.0890846289568146,0.765618342027297,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.0508644913390472,0.0121069270194936,1.71107428909183
"23",23,"LAC1-LAC2","post_10",0.00028235099792065,0.000438144407378397,0.0638293478101176,0.800772415623525,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.245386553812424,0.001460756955317,0.991874426120783
"24",24,"LAC1-LAC2","post_11",0.00147445822648894,0.000953599020301146,0.333719614817909,0.564052103920077,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.229065285976855,0.00188372099371015,0.69426191639202
"25",25,"LAC1-LAC2","post_12",0.00148324077719591,0.000982988394218968,0.33571035493404,0.56289290700258,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.220585538201699,0.00209570807710036,0.153151164779559
"26",26,"LAC1-LAC2","post_13",0.00433360694183673,0.0018099000892504,0.983657955800752,0.322358059135558,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.718841010391622,-0.00389201694697383,-10.4766164923392
"27",27,"LAC1-LAC2","post_14",0.0030573822398443,0.00149977711043013,0.693087419371458,0.405995086053638,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.583802337214141,-0.00315263762367524,1.02061008052215
"28",28,"LAC1-LAC2","post_15",3.94891330123272e-05,0.000163306691990577,0.00892489649721085,0.924818190491185,3.35116834672584,0.9038,"ineq_advent","Cingulate",18,0.202048908354783,0.00270247809824942,-0.32539092604641
