electrode,bin,R2,Beta_1,Beta_2,Fstat,p_1,p_2,fstretch,perm_p,predictor,region,sub,epoch,type,time,Beta
LOF2-LOF3,bin_21,0.0128651095968379,-0.00104314696651787,0.01440974329116,1.38147443730599,0.905560670768944,0.117248073834601,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1050,-0.015452890257677869
LOF2-LOF3,bin_22,0.0134766576076967,-0.00393034516901397,0.0140073349288826,1.44804045178668,0.665143368178832,0.140172171526607,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1100,-0.01793768009789657
LOF2-LOF3,bin_23,0.0119553038104842,-0.00777935577132955,0.0106302586386244,1.2825960291054,0.400806805228165,0.271393583220434,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1150,-0.01840961440995395
LOF2-LOF3,bin_24,0.0101352924573632,-0.0108402609864871,0.00522449596151914,1.08534125148029,0.237961197567332,0.58513959292873,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1200,-0.01606475694800624
LOF2-LOF3,bin_25,0.00970561645099667,-0.0124339443838022,-4.41448046243476e-4,1.03887829810633,0.161425100325761,0.961902770063774,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1250,-0.011992496337558724
LOF2-LOF3,bin_26,0.00989015235324427,-0.012261335469115,-0.00438177457865915,1.05882812087525,0.148733228043022,0.620078705696664,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1300,-0.00787956089045585
LOF2-LOF3,bin_27,0.00914338400606069,-0.0109404090768786,-0.0060754299066246,0.978142234706904,0.180226828184264,0.474971738553814,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1350,-0.004864979170254
LOF2-LOF3,bin_28,0.00659746474532842,-0.0088470022389135,-0.00562904968400511,0.703975717985791,0.266572115550399,0.497633056091431,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1400,-0.0032179525549083897
LOF2-LOF3,bin_29,0.00310764038400761,-0.00630944843336568,-0.00321897548409004,0.330436759322438,0.430332553466646,0.699579859599821,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1450,-0.00309047294927564
LOF2-LOF3,bin_30,0.00152326033927342,-0.00443463023046346,3.76548220820536e-4,0.161711925325218,0.591749132823074,0.965170704366453,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1500,-0.0048111784512839964
LOF2-LOF3,bin_31,0.00227134917711966,-0.00310445795151601,0.00424951173024803,0.241311114576206,0.715636933893838,0.632686813292387,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1550,-0.0073539696817640395
LOF2-LOF3,bin_32,0.00447667677731276,-0.00223496580434386,0.00755818805872279,0.476661598302912,0.794940925439575,0.399859153092021,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1600,-0.00979315386306665
LOF2-LOF3,bin_33,0.00680044386069193,-0.00196003103780539,0.00964566800245843,0.725782693696892,0.81832808918965,0.279204040007128,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1650,-0.01160569904026382
LOF2-LOF3,bin_34,0.00779901275686371,-0.00268585250746206,0.00991486838556478,0.833193438483219,0.750168222621091,0.260507956419041,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1700,-0.01260072089302684
LOF2-LOF3,bin_35,0.00769779293002479,-0.00461544887438336,0.0086227946864952,0.82229591425779,0.584284017636748,0.327544013714188,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1750,-0.01323824356087856
LOF2-LOF3,bin_36,0.00817712643239609,-0.00717782836472046,0.00686254292994405,0.873921568995661,0.400982453271986,0.441412718686543,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1800,-0.014040371294664511
