electrode,bin,R2,Beta_1,Beta_2,Fstat,p_1,p_2,fstretch,perm_p,predictor,region,sub,epoch,type,time,Beta
LOF2-LOF3,bin_1,0.0103475549728614,-0.0078294621158612,-0.00750134144019273,1.10830911663461,0.220921617791177,0.260800476982354,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,50,-3.281206756684694e-4
LOF2-LOF3,bin_2,0.0149042048445482,-0.0116824310389564,-0.00877236872401486,1.60374830680584,0.107975857527443,0.246594085591426,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,100,-0.0029100623149415413
LOF2-LOF3,bin_3,0.0158448324724645,-0.0140625191371016,-0.00647905930543552,1.70659292101339,0.0710895141029277,0.423944035285664,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,150,-0.00758345983166608
LOF2-LOF3,bin_4,0.0136396386465034,-0.0133870118600968,-7.20944440100959e-4,1.46579460527531,0.0953085030523413,0.931155094268898,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,200,-0.012666067419995842
LOF2-LOF3,bin_5,0.0126318890081591,-0.00965271357142259,0.00680829981293087,1.35611047182779,0.236846675876529,0.423431856642396,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,250,-0.01646101338435346
LOF2-LOF3,bin_6,0.0133791892831159,-0.00360209261736871,0.0127128315355528,1.43742565391442,0.66363054106323,0.142131847851038,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,300,-0.01631492415292151
LOF2-LOF3,bin_7,0.0138101923932613,0.0023871761265316,0.0150140083073956,1.48437996660927,0.776239153259537,0.0876729305917475,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,350,-0.012626832180864002
LOF2-LOF3,bin_8,0.0115097224943471,0.00546251230516319,0.0136621135277448,1.23423630172611,0.518768668993998,0.122747385396335,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,400,-0.00819960122258161
LOF2-LOF3,bin_9,0.00654770044937866,0.00408990600356904,0.0103692398094328,0.698630671999136,0.631619153878402,0.244566902299676,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,450,-0.006279333805863759
LOF2-LOF3,bin_10,0.00418214997402873,-8.23063337212906e-4,0.00804834347693057,0.445169663543873,0.924972600657824,0.377827433535952,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,500,-0.008871406814143475
LOF2-LOF3,bin_11,0.00824918194520581,-0.00631529496340957,0.00864197155697686,0.881686478370522,0.486314096642075,0.361335906174631,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,550,-0.01495726652038643
LOF2-LOF3,bin_12,0.0152463611505865,-0.00913523647215735,0.0118698425855254,1.64113562845062,0.32754798548685,0.222966774396299,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,600,-0.02100507905768275
LOF2-LOF3,bin_13,0.0200000823858184,-0.0079995651025996,0.0159289597361458,2.16327439910193,0.397044984021095,0.106761774364758,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,650,-0.0239285248387454
LOF2-LOF3,bin_14,0.021456227689245,-0.004726963662762,0.0185588096106131,2.32422932873943,0.614516987061259,0.0590236906152497,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,700,-0.0232857732733751
LOF2-LOF3,bin_15,0.0188688653943959,-0.0019989239249659,0.0181543402454461,2.03856514308862,0.828708176990768,0.0606765768448227,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,750,-0.020153264170411998
LOF2-LOF3,bin_16,0.0141260711181811,-0.00121620800499135,0.0154781974426949,1.51881847633958,0.89281301806242,0.101291295793084,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,800,-0.01669440544768625
LOF2-LOF3,bin_17,0.0099736443095301,-0.00201912175750654,0.0122606490749241,1.0678567199081,0.818556507054344,0.182677204265678,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,850,-0.01427977083243064
LOF2-LOF3,bin_18,0.00777112671636763,-0.00223817388296198,0.0103686090689459,0.830190951014081,0.795206205651697,0.249776212521732,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,900,-0.01260678295190788
LOF2-LOF3,bin_19,0.00776480952240776,-0.00124576791142052,0.0106323912703656,0.829510802755398,0.88353289437305,0.231507972019705,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,950,-0.01187815918178612
LOF2-LOF3,bin_20,0.00997253223759476,-4.06208481435963e-4,0.0125012727469695,1.06773645338771,0.96218972538496494,0.162931198331686,2.32422932873943,0.913,other_var_payoff_self_var_payoff,All,IR28,presentation,multiple,1000,-0.012907481228405461
