"","trial","electrodes","bin_1","bin_2","bin_3","bin_4","bin_5","bin_6","bin_7","bin_8","bin_9","bin_10","bin_11","bin_12","bin_13","bin_14","bin_15","bin_16","bin_17","bin_18","bin_19","bin_20","bin_21","bin_22","bin_23","bin_24","bin_25","bin_26","bin_27","bin_28","bin_29","bin_30","bin_31","bin_32","bin_33","bin_34","bin_35","bin_36","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_foregone","ineq_disadvent","ineq_advent","ineq_disadvent_choice","ineq_advent_choice","ineq_var","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",2,"POL RPC5-Ref-POL RPC6-Ref",-0.083968271,-0.633090721,-0.770773536,-0.625419054,-0.301350854,0.074793516,0.174268161,0.039009679,-0.364940821,-0.693972815,-0.450459005,-0.2692113865,0.0848973685,0.0673361225,-0.1977647075,-0.2401511815,-0.2917002465,0.0726543735,0.1916615935,0.275070729,0.139218089,-0.0552196709,-0.0407297109,-0.0100963909,-0.0394089979,-0.234860338,-0.427412793,-0.5698119865,-0.2134274795,0.5119151705,0.8351933855,0.602039679,0.448733199,-0.0329408355,-0.2841565005,-0.1771653505,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"2",2,"POL RPC4-Ref-POL RPC5-Ref",0.86244029,0.18469009,-0.1701748,-0.091142378495,-0.00443712199500002,0.058607378005,0.228359428005,0.0455818565,-0.22793174,-0.1313635285,0.0886630715,0.301319302,0.568611437,0.5589757695,0.2632978195,0.212704944,0.2306146485,0.3205155525,0.3546055525,0.2451237475,0.1786872368,0.1770167319,0.5069736319,0.9773482819,1.0568042996,1.2414902065,0.937801831,0.848556406,1.1505066595,1.2401066595,1.447138485,1.24829741,0.91045166,0.6155052971,0.3988796971,0.3653358031,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"3",2,"POL RHP6-Ref-POL RHP7-Ref",-0.3610141465,-0.5163182925,-0.5176636925,-0.4886160925,-0.4462563425,-0.3898344425,-0.2775838385,-0.3089990285,-0.3849267785,-0.305710257,-0.273572861,-0.1568454655,0.2547286345,0.465492613,0.568360163,0.7930100575,0.499496628,0.261806028,0.379613178,0.102236163,0.0285776425,0.3605150775,0.281947367,0.2473750835,0.3463637435,-0.0253265915,-0.291669081,-0.231327342,-0.053799602,0.153114998,0.2766417865,0.518291146,0.452694006,0.4185937175,0.309381529,0.12381514,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"4",2,"POL ROF2-Ref-POL ROF3-Ref",-0.1913215239,-0.1863838839,-0.2406102839,-0.163304432,-0.396352697,-0.1622233315,0.0841850635,-0.1052701365,-0.1948752515,-0.419495997,-0.271191342,-0.138998652,-0.133177802,-0.117543062,-0.374247147,-0.357473227,-0.081312927,-0.077559402,-0.070614825,-0.1503724455,-0.3751040955,-0.2498235935,-0.2880350191,-0.3878381086,-0.2292304261,-0.3217447031,-0.4352449695,-0.4282614895,-0.420772018,-0.4759159215,-0.3413216715,-0.096366714,-0.235489268,-0.2133181745,-0.0280672895,-0.232078337,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"5",2,"POL ROF5-Ref-POL ROF6-Ref",-0.278691004,-0.1247739905,0.3393192095,0.4100984565,0.514383927,0.6844785635,0.6016101635,0.9910544115,1.2465684115,1.3140388965,1.3075042315,1.0968513815,0.7651125815,0.628450363,0.428058263,0.424632723,0.109197903,-0.0502838985,-0.0490737805,-0.347490173,-0.109990083,0.263755502,0.325091259,0.4858976215,0.2450799615,-0.01012083915,-0.10049619565,-0.29590652565,-0.26894689565,-0.127336595,0.1809619015,0.412380715,0.59307074,0.3501727715,0.1334283715,0.251485858,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"6",2,"POL LAM5-Ref-POL LAM6-Ref",0.1546705764,-0.0049598294,0.1593888971,0.0449905121,-0.3436744879,-0.5143344821,-0.63001133315,-0.30850583315,-0.1342462807,0.1812282693,0.26036359885,0.30158214885,0.4765379114,0.1096384114,0.1126659534,-0.0074903416,-0.0573652266,0.1025296834,-0.0965413636,-0.2608947836,-0.3858762436,-0.4081475961,-0.3124504461,-0.2958051511,-0.1189345211,-0.0149498496,0.0812626964,0.3268034164,0.3514201964,0.3707843343,0.5377277563,0.1775859563,-0.2353954737,-0.2023951516,-0.0396095196,0.0549756104,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"7",2,"POL LAM6-Ref-POL LAM7-Ref",0.37826569005,0.294001425,0.36232197,0.37978682,0.413170625,0.39964979,0.71344418,0.79374609,1.118902325,1.292475674,1.259102124,1.1642703715,0.890811907,0.85102449085,0.47851924335,0.64133840085,0.90842456535,1.4308501175,1.590768625,1.6001255645,1.1026976145,0.3086557645,0.1400532045,-0.05996755,0.05352159,0.42140413,0.38608827,0.41642989,0.533695247,0.380304479,0.613611094,0.780865709,0.903894637,1.003906141,0.904894578,1.145147543,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"8",2,"POL LAM3-Ref-POL LAM4-Ref",-0.344887523,-0.1378843389,0.0507426436,0.2191140586,0.2165276286,0.2185967495,0.3614791145,0.4677587795,0.8900640295,1.4503233745,1.0887358495,0.9135987695,0.4665988695,-0.1152552585,-0.1666629485,-0.2865260985,-0.1669436105,-0.1644728455,-0.000987495499999991,0.3039053995,0.1617645165,0.0915101295,-0.003721062,-0.2620326235,-0.1079917535,0.0938413465,0.177430181,0.6347148975,0.6693125665,0.7237406815,0.550705311,0.148594826,0.259275182,0.1459915095,0.2228703865,0.3533318215,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"9",2,"POL ROF4-Ref-POL ROF5-Ref",-0.01754712,0.1914309605,-0.224384767,-0.2193181495,-0.39924889945,-0.34254092995,-0.12858229745,-0.00409651745000006,0.3347263825,0.290503537,0.263194768,0.3341475555,0.0110451005,0.553046821,0.653305085,0.904614465,1.15594407,0.46169758,0.2701373065,-0.195734754,-0.313344504,-0.3542473565,-0.165778033,-0.0886554325000001,-0.4779296825,-0.27769271,-0.31080911,-0.3101245,-0.169715525,-0.546431405,-0.969563655,-1.090490155,-1.27175018,-1.004107465,-0.546611715,-0.549890414,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"10",2,"POL RPC2-Ref-POL RPC3-Ref",1.2834877445,0.9973849945,0.6227406495,0.4768095285,0.1953564507,-0.1985094378,-0.4100536928,-0.4298063928,-0.620458665,-0.6378389665,-0.32904309083,-0.27218596583,-0.14034711583,0.03392359117,0.0249922445,0.1889058895,0.4342854245,0.3133831875,0.0694795085,-0.1114444015,-0.0917414815,-0.0392290135,0.3497049865,0.7212860765,1.0839127715,1.8617787735,1.6208417735,1.4430401335,0.8028751435,0.3531634935,0.4827815935,0.5916646335,0.9988995235,0.9612738235,0.7393285635,0.6667241415,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
