"","trial","electrodes","bin_1","bin_2","bin_3","bin_4","bin_5","bin_6","bin_7","bin_8","bin_9","bin_10","bin_11","bin_12","bin_13","bin_14","bin_15","bin_16","bin_17","bin_18","bin_19","bin_20","bin_21","bin_22","bin_23","bin_24","bin_25","bin_26","bin_27","bin_28","bin_29","bin_30","bin_31","bin_32","bin_33","bin_34","bin_35","bin_36","X","SID","newround_time","choice_time","buttonpress_time","reveal_time","self_payoff","other_payoff","self_foregone","other_foregone","RT","side_chosen","self_var_payoff","other_var_payoff","ineq_var_abs","ineq_choice_abs","ineq_foregone_abs","ineq_foregone","ineq_disadvent","ineq_advent","ineq_disadvent_choice","ineq_advent_choice","ineq_var","ineq_choice","chose_equality","self_diff","other_diff","L_self","R_self","L_other","R_other"
"1",2,"POL RPC5-Ref-POL RPC6-Ref",0.5174420745,1.0269427745,1.4889922745,1.8220054,1.97969,1.960034,1.8094433,1.59855225,1.38984835,1.2126833155,1.0612118055,0.9149962055,0.7644038055,0.61818654,0.49606735,0.42358965,0.42009575,0.48961195,0.62082165425,0.78896000575,0.96214820575,1.10429795575,1.1712602265,1.117366312,0.931331812,0.720118962,0.6619578505,0.8378951135,1.2342561635,1.7009581635,2.0216489,2.09645125,1.9232552,1.5740161995,1.1820436995,0.8953731995,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"2",2,"POL RPC4-Ref-POL RPC5-Ref",-0.1608350415,-0.2473561415,-0.1788857285,0.1168041715,0.6501352215,1.2342579215,1.6589537585,1.8716997585,1.8771517585,1.7106043085,1.4180311585,1.041174108,0.621253323,0.228126373,-0.029551927,-0.1034955115,-0.017957814,0.150308086,0.2751948675,0.290800822,0.2167239595,0.1092848095,0.009874878,-0.0801621415,-0.1916008915,-0.3461962415,-0.4752195915,-0.5230475415,-0.4813526415,-0.3803919415,-0.3251049415,-0.3600225915,-0.4403383915,-0.4980264415,-0.4916684415,-0.4161516415,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"3",2,"POL RHP6-Ref-POL RHP7-Ref",-0.93192680365,-0.97627470365,-0.95887635365,-0.91757630365,-0.88723375365,-0.88491350365,-0.91474630365,-0.97776645365,-1.07110180365,-1.15839740365,-1.16366220365,-1.03840897415,-0.76676363415,-0.38622008415,0.00825896585000002,0.33183423635,0.51167519635,0.48873469635,0.23506890735,-0.17703439265,-0.46411271255,-0.45397676255,-0.11844172355,0.45580157645,0.98145194635,1.29758019635,1.39423219635,1.32139819635,1.15180519635,0.94496839635,0.72923189635,0.49450029635,0.20897499785,-0.15004050215,-0.58153965215,-0.95495970215,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"4",2,"POL ROF2-Ref-POL ROF3-Ref",-0.963795906,-0.497980106,0.031148544,0.4699069205,0.8024888205,1.0189562705,1.0979232705,1.0099302705,0.7461077205,0.344567046,-0.111035794,-0.522504294,-0.818957194,-0.9779666195,-1.0241565795,-1.0100870795,-0.9856800795,-0.9813051795,-1.0070873295,-1.0591294295,-1.0992561795,-1.0489757815,-0.8623086265,-0.5454223265,-0.1614021765,0.1689946255,0.3478428705,0.3341405705,0.1278721235,-0.2254707265,-0.5835236265,-0.7759149731,-0.7603111611,-0.5933788611,-0.4307616611,-0.419601858,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"5",2,"POL ROF5-Ref-POL ROF6-Ref",-0.16471965,-0.19140245,-0.18262895,-0.1546161,-0.12580115,-0.0821683,0.0243301500000001,0.2327331433,0.5494481933,0.9265786433,1.2794299933,1.5458957,1.70340905,1.7540235,1.7067738,1.5661501,1.329675614,1.001802564,0.631531164,0.362462514,0.28229031,0.390934955,0.629169755,0.847583105,0.963707495,0.9824696,0.9300743068,0.8372030583,0.7294558583,0.6242595083,0.5339720015,0.4674702,0.42731185,0.4068134,0.39011075,0.34997515,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"6",2,"POL LAM5-Ref-POL LAM6-Ref",0.6110414,0.86988005,1.0798408,1.1769098,1.1195463,0.91148185,0.60285205,0.2658019,-0.041372045,-0.2949184892,-0.5057322892,-0.7029203892,-0.9091016442,-1.08101085,-1.15262145,-1.12552095,-1.02242465,-0.9239712,-0.89507325,-0.87759515,-0.8050086425,-0.6527263925,-0.4486077425,-0.2721721425,-0.18632065,-0.18831325,-0.21548465,-0.1958567,-0.09486385,0.0679432,0.2231884,0.29725195,0.2557081,0.10814915,-0.106341506,-0.337890416,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"7",2,"POL LAM6-Ref-POL LAM7-Ref",1.028609539,1.297670422,1.420188372,1.399391372,1.255492472,1.035193622,0.818573122,0.695265822,0.718646872,0.887922322,1.146558372,1.408624622,1.601685472,1.680790872,1.634984172,1.493737722,1.314036322,1.149827272,1.021307972,0.910822472,0.785469102,0.621859204,0.422749504,0.217925204,0.056091124,-0.018270578,0.00877639200000002,0.1177570093,0.2593057943,0.3723819993,0.40849439363,0.33693207633,0.17704529133,0.05790083633,0.0819454455,0.2671651455,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"8",2,"POL LAM3-Ref-POL LAM4-Ref",0.511166970265,0.381327465265,0.113544533615,-0.258704716385,-0.682702866385,-0.971451911385,-1.031284129735,-0.858883204235,-0.467193554235,-0.017814654235,0.386471445765,0.700339620265,0.876799620265,0.882425970265,0.711430570265,0.388708865765,-0.034923584235,-0.484262784235,-0.845085484235,-1.029999929735,-1.018558079735,-0.824234621685,-0.518908491685,-0.176778291685,0.157966008315,0.430861700265,0.590004770265,0.604992970265,0.476662020265,0.241422095765,-0.033975954235,-0.272213754235,-0.418445354235,-0.465164529735,-0.449670079735,-0.427499779735,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"9",2,"POL ROF4-Ref-POL ROF5-Ref",-0.21598035,-0.1436612,-0.08845155,-0.04898125,-0.01404035,0.0215607,0.06451575,0.1209091,0.1895554,0.263693885,0.338951283,0.417482683,0.497866533,0.563098548,0.57959626,0.50489243,0.30984438,0.01124988,-0.22021413,-0.2700146,-0.120376881,0.202546219,0.526250719,0.741775219,0.8486967,0.8853636,0.90293345,0.9379116,0.98717015,1.0083626,0.955702,0.809868398685,0.579815198685,0.293121898685,-0.004571201315,-0.2192033,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
"10",2,"POL RPC2-Ref-POL RPC3-Ref",0.3184061835,0.5333069835,0.7124643835,0.802323215,0.78681604,0.6811599055,0.5231173055,0.3580919055,0.2216485155,0.13375215,0.10558975,0.14511378,0.25439880625,0.41321025625,0.56966405625,0.65741252125,0.624392074135,0.461247574135,0.232469124135,0.077529079135,0.0783953645,0.2321482445,0.4628685945,0.6234766495,0.621402206,0.446049326,0.146101526,-0.101434179,-0.1842527,-0.09325681,0.14763709145,0.39549424145,0.56480569145,0.65559305145,0.667545605,0.59818706233,1714,"DG_s09",3,3.625,4.797,4.797,12,12,10,10,1.172,"Left",12,12,0,0,0,0,0,0,0,0,0,0,"Equal",2,2,12,10,12,10
